Column1,Column2,Column3,Column4,Column5
time,q1_l,q1_r,q2_l,q2_r
0.0,0.0,0.0,0.0,0.0
0.02,0.03769514316500622,0.03769514316500622,0.03769514316500622,0.03769514316500622
0.04,0.07536647726965434,0.07536647726965434,0.07536647726965434,0.07536647726965434
0.06,0.11299020829189908,0.11299020829189908,0.11299020829189908,0.11299020829189908
0.08,0.15054257227682236,0.15054257227682236,0.15054257227682236,0.15054257227682236
0.1,0.1879998503464564,0.1879998503464564,0.1879998503464564,0.1879998503464564
0.12,0.2253383836811356,0.2253383836811356,0.2253383836811356,0.2253383836811356
0.14,0.2625345884629141,0.2625345884629141,0.2625345884629141,0.2625345884629141
0.16,0.29956497077161054,0.29956497077161054,0.29956497077161054,0.29956497077161054
0.18,0.33640614142407177,0.33640614142407177,0.33640614142407177,0.33640614142407177
0.2,0.37303483074728216,0.37303483074728216,0.37303483074728216,0.37303483074728216
0.22,0.4094279032759879,0.4094279032759879,0.4094279032759879,0.4094279032759879
0.24,0.44556237236555235,0.44556237236555235,0.44556237236555235,0.44556237236555235
0.26,0.4814154147108143,0.4814154147108143,0.4814154147108143,0.4814154147108143
0.28,0.5169643847617756,0.5169643847617756,0.5169643847617756,0.5169643847617756
0.3,0.5521868290270169,0.5521868290270169,0.5521868290270169,0.5521868290270169
0.32,0.5870605002558037,0.5870605002558037,0.5870605002558037,0.5870605002558037
0.34,0.6215633714899262,0.6215633714899262,0.6215633714899262,0.6215633714899262
0.36,0.6556736499763993,0.6556736499763993,0.6556736499763993,0.6556736499763993
0.38,0.6893697909322318,0.6893697909322318,0.6893697909322318,0.6893697909322318
0.4,0.7226305111525729,0.7226305111525729,0.7226305111525729,0.7226305111525729
0.42,0.7554348024536413,0.7554348024536413,0.7554348024536413,0.7554348024536413
0.44,0.7877619449419435,0.7877619449419435,0.7877619449419435,0.7877619449419435
0.46,0.8195915201014036,0.8195915201014036,0.8195915201014036,0.8195915201014036
0.48,0.8509034236901347,0.8509034236901347,0.8509034236901347,0.8509034236901347
0.5,0.8816778784387097,0.8816778784387097,0.8816778784387097,0.8816778784387097
0.52,0.9118954465419081,0.9118954465419081,0.9118954465419081,0.9118954465419081
0.54,0.9415370419360509,0.9415370419360509,0.9415370419360509,0.9415370419360509
0.56,0.9705839423541665,0.9705839423541665,0.9705839423541665,0.9705839423541665
0.58,0.9990178011513774,0.9990178011513774,0.9990178011513774,0.9990178011513774
0.6,1.0268206588930329,1.0268206588930329,1.0268206588930329,1.0268206588930329
0.62,1.0539749546982737,1.0539749546982737,1.0539749546982737,1.0539749546982737
0.64,1.0804635373318603,1.0804635373318603,1.0804635373318603,1.0804635373318603
0.66,1.106269676037261,1.106269676037261,1.106269676037261,1.106269676037261
0.68,1.1313770711041555,1.1313770711041555,1.1313770711041555,1.1313770711041555
0.7000000000000001,1.155769864163684,1.155769864163684,1.155769864163684,1.155769864163684
0.72,1.1794326482049284,1.1794326482049284,1.1794326482049284,1.1794326482049284
0.74,1.2023504773063147,1.2023504773063147,1.2023504773063147,1.2023504773063147
0.76,1.2245088760757759,1.2245088760757759,1.2245088760757759,1.2245088760757759
0.78,1.245893848793719,1.245893848793719,1.245893848793719,1.245893848793719
0.8,1.2664918882530227,1.2664918882530227,1.2664918882530227,1.2664918882530227
0.8200000000000001,1.2862899842904787,1.2862899842904787,1.2862899842904787,1.2862899842904787
0.84,1.3052756320042886,1.3052756320042886,1.3052756320042886,1.3052756320042886
0.86,1.32343683965243,1.32343683965243,1.32343683965243,1.32343683965243
0.88,1.3407621362268958,1.3407621362268958,1.3407621362268958,1.3407621362268958
0.9,1.3572405786990294,1.3572405786990294,1.3572405786990294,1.3572405786990294
0.92,1.3728617589313763,1.3728617589313763,1.3728617589313763,1.3728617589313763
0.9400000000000001,1.3876158102516871,1.3876158102516871,1.3876158102516871,1.3876158102516871
0.96,1.401493413684918,1.401493413684918,1.401493413684918,1.401493413684918
0.98,1.4144858038392967,1.4144858038392967,1.4144858038392967,1.4144858038392967
1.0,1.4265847744427302,1.4265847744427302,1.4265847744427302,1.4265847744427302
1.02,1.4377826835260639,1.4377826835260639,1.4377826835260639,1.4377826835260639
1.04,1.4480724582499107,1.4480724582499107,1.4480724582499107,1.4480724582499107
1.06,1.4574475993720108,1.4574475993720108,1.4574475993720108,1.4574475993720108
1.08,1.4659021853522902,1.4659021853522902,1.4659021853522902,1.4659021853522902
1.1,1.473430876093033,1.473430876093033,1.473430876093033,1.473430876093033
1.12,1.4800289163118021,1.4800289163118021,1.4800289163118021,1.4800289163118021
1.1400000000000001,1.4856921385449768,1.4856921385449768,1.4856921385449768,1.4856921385449768
1.16,1.4904169657800126,1.4904169657800126,1.4904169657800126,1.4904169657800126
1.18,1.4942004137147589,1.4942004137147589,1.4942004137147589,1.4942004137147589
1.2,1.4970400926424074,1.4970400926424074,1.4970400926424074,1.4970400926424074
1.22,1.4989342089608837,1.4989342089608837,1.4989342089608837,1.4989342089608837
1.24,1.4998815663057241,1.4998815663057241,1.4998815663057241,1.4998815663057241
1.26,1.4998815663057241,1.4998815663057241,1.4998815663057241,1.4998815663057241
1.28,1.4989342089608837,1.4989342089608837,1.4989342089608837,1.4989342089608837
1.3,1.4970400926424074,1.4970400926424074,1.4970400926424074,1.4970400926424074
1.32,1.4942004137147589,1.4942004137147589,1.4942004137147589,1.4942004137147589
1.34,1.4904169657800126,1.4904169657800126,1.4904169657800126,1.4904169657800126
1.36,1.4856921385449768,1.4856921385449768,1.4856921385449768,1.4856921385449768
