time,q1_l,q1_r,q2_l,q2_r
0.0,0.0,0.0,0.0,0.0
0.005,8.173543496631869,8.173543496631869,8.173543496631869,8.173543496631869
0.01,16.27345104388357,16.27345104388357,16.27345104388357,16.27345104388357
0.015,24.22682170824758,24.22682170824758,24.22682170824758,24.22682170824758
0.02,31.962217243999007,31.962217243999007,31.962217243999007,31.962217243999007
0.025,39.41037515055856,39.41037515055856,39.41037515055856,39.41037515055856
0.03,46.504899990748136,46.504899990748136,46.504899990748136,46.504899990748136
0.035,53.18292606258829,53.18292606258829,53.18292606258829,53.18292606258829
0.04,59.38574480351292,59.38574480351292,59.38574480351292,59.38574480351292
0.045,65.05939065825858,65.05939065825858,65.05939065825858,65.05939065825858
0.05,70.1551795567029,70.1551795567029,70.1551795567029,70.1551795567029
0.055,74.63019462143207,74.63019462143207,74.63019462143207,74.63019462143207
0.06,78.44771425208107,78.44771425208107,78.44771425208107,78.44771425208107
0.065,81.57757830924152,81.57757830924152,81.57757830924152,81.57757830924152
0.07,83.99648873922162,83.99648873922162,83.99648873922162,83.99648873922162
0.075,85.68824163598686,85.68824163598686,85.68824163598686,85.68824163598686
0.08,86.64388842166832,86.64388842166832,86.64388842166832,86.64388842166832
0.085,86.86182453524803,86.86182453524803,86.86182453524803,86.86182453524803
0.09,86.34780474334555,86.34780474334555,86.34780474334555,86.34780474334555
0.095,85.11488492019781,85.11488492019781,85.11488492019781,85.11488492019781
0.1,83.18329087861916,83.18329087861916,83.18329087861916,83.18329087861916
0.105,80.58021556261114,80.58021556261114,80.58021556261114,80.58021556261114
0.11,77.33954662807811,77.33954662807811,77.33954662807811,77.33954662807811
0.115,73.50152713364385,73.50152713364385,73.50152713364385,73.50152713364385
0.12,69.11235273190559,69.11235273190559,69.11235273190559,69.11235273190559
0.125,64.22370938592859,64.22370938592859,64.22370938592859,64.22370938592859
0.13,58.89225623003656,58.89225623003656,58.89225623003656,58.89225623003656
0.135,53.17905874205258,53.17905874205258,53.17905874205258,53.17905874205258
0.14,47.14897789061717,47.14897789061717,47.14897789061717,47.14897789061717
0.145,40.87002136109199,40.87002136109199,40.87002136109199,40.87002136109199
0.15,34.41266334245592,34.41266334245592,34.41266334245592,34.41266334245592
0.155,27.849139671728476,27.849139671728476,27.849139671728476,27.849139671728476
0.16,21.25272537867388,21.25272537867388,21.25272537867388,21.25272537867388
0.165,14.69700184939082,14.69700184939082,14.69700184939082,14.69700184939082
0.17,8.255120931116089,8.255120931116089,8.255120931116089,8.255120931116089
0.17500000000000002,1.9990733311332836,1.9990733311332836,1.9990733311332836,1.9990733311332836
0.18,-4.001031380228089,-4.001031380228089,-4.001031380228089,-4.001031380228089
0.185,-9.677665968462435,-9.677665968462435,-9.677665968462435,-9.677665968462435
0.19,-14.96656092940997,-14.96656092940997,-14.96656092940997,-14.96656092940997
0.195,-19.807347331045097,-19.807347331045097,-19.807347331045097,-19.807347331045097
0.2,-24.144160679398496,-24.144160679398496,-24.144160679398496,-24.144160679398496
0.20500000000000002,-27.92619977491825,-27.92619977491825,-27.92619977491825,-27.92619977491825
0.21,-31.108234975292785,-31.108234975292785,-31.108234975292785,-31.108234975292785
0.215,-33.651060786275394,-33.651060786275394,-33.651060786275394,-33.651060786275394
0.22,-35.52188825830467,-35.52188825830467,-35.52188825830467,-35.52188825830467
0.225,-36.69467326815682,-36.69467326815682,-36.69467326815682,-36.69467326815682
0.23,-37.15037740548228,-37.15037740548228,-37.15037740548228,-37.15037740548228
0.23500000000000001,-36.8771588574674,-36.8771588574674,-36.8771588574674,-36.8771588574674
0.24,-35.87049138429999,-35.87049138429999,-35.87049138429999,-35.87049138429999
0.245,-34.13321019660879,-34.13321019660879,-34.13321019660879,-34.13321019660879
0.25,-31.675484276420136,-31.675484276420136,-31.675484276420136,-31.675484276420136
0.255,-28.514715418126297,-28.514715418126297,-28.514715418126297,-28.514715418126297
0.26,-24.675364998150442,-24.675364998150442,-24.675364998150442,-24.675364998150442
0.265,-20.188710204104563,-20.188710204104563,-20.188710204104563,-20.188710204104563
0.27,-15.092532159053423,-15.092532159053423,-15.092532159053423,-15.092532159053423
0.275,-9.430739056981194,-9.430739056981194,-9.430739056981194,-9.430739056981194
0.28,-3.252928074902809,-3.252928074902809,-3.252928074902809,-3.252928074902809
0.28500000000000003,3.3861095612127596,3.3861095612127596,3.3861095612127596,3.3861095612127596
0.29,10.426935411552442,10.426935411552442,10.426935411552442,10.426935411552442
0.295,17.806057094868905,17.806057094868905,17.806057094868905,17.806057094868905
0.3,25.456562070468586,25.456562070468586,25.456562070468586,25.456562070468586
0.305,33.30878559730071,33.30878559730071,33.30878559730071,33.30878559730071
0.31,41.291006196181186,41.291006196181186,41.291006196181186,41.291006196181186
0.315,49.33016166638217,49.33016166638217,49.33016166638217,49.33016166638217
0.32,57.35257850244802,57.35257850244802,57.35257850244802,57.35257850244802
0.325,65.28470742320336,65.28470742320336,65.28470742320336,65.28470742320336
0.33,73.05385766385213,73.05385766385213,73.05385766385213,73.05385766385213
0.335,80.58892269441972,80.58892269441972,80.58892269441972,80.58892269441972
0.34,87.82109011346041,87.82109011346041,87.82109011346041,87.82109011346041
0.34500000000000003,94.68452862406234,94.68452862406234,94.68452862406234,94.68452862406234
0.35000000000000003,101.1170452281721,101.1170452281721,101.1170452281721,101.1170452281721
0.355,107.0607060728259,107.0607060728259,107.0607060728259,107.0607060728259
0.36,112.46241474505526,112.46241474505526,112.46241474505526,112.46241474505526
0.365,117.2744422373894,117.2744422373894,117.2744422373894,117.2744422373894
0.37,121.45490328877209,121.45490328877209,121.45490328877209,121.45490328877209
0.375,124.96817434150555,124.96817434150555,124.96817434150555,124.96817434150555
0.38,127.78524893818906,127.78524893818906,127.78524893818906,127.78524893818906
0.385,129.88402700769723,129.88402700769723,129.88402700769723,129.88402700769723
0.39,131.2495351498021,131.2495351498021,131.2495351498021,131.2495351498021
