timestamp,DXL_PWM,DXL_Current,DXL_Velocity,θ(t),DXL_Input_Voltage,U
0.0,0.0,-0.00269,0.0,-0.004258603374866241,11.9,0.0
0.02,0.04181,0.024210000000000002,0.0,-0.004258603374866241,11.9,0.497539
0.04,0.04181,0.0,0.0,-0.004258603374866241,11.9,0.497539
0.06,0.04181,0.0,0.0,-0.002722713633111238,11.9,0.497539
0.08,0.04181,0.00807,0.0,-0.001186823891356455,11.9,0.497539
0.1,0.04181,0.00807,0.047961647844804174,0.0003490658503987693,11.9,0.497539
0.12,0.04181,0.0,0.047961647844804174,0.0034208453339089973,11.9,0.497539
0.14,0.04181,0.0,0.07194247176720626,0.00495673507566378,11.9,0.497539
0.16,0.04181,0.0,0.09592329568960835,0.008028514559173788,11.9,0.497539
0.18,0.04181,0.0,0.09592329568960835,0.00956440430092857,11.9,0.497539
0.2,0.04181,0.0,0.09592329568960835,0.01110029404268379,11.9,0.497539
0.22,0.04181,0.0,0.09592329568960835,0.014172073526193797,11.9,0.497539
0.24,0.04181,0.0,0.09592329568960835,0.015707963267949026,11.9,0.497539
0.26,0.04181,0.0,0.09592329568960835,0.018779742751458817,11.9,0.497539
0.28,0.04181,0.0,0.09592329568960835,0.020315632493214036,11.9,0.497539
0.3,0.04181,0.0,0.09592329568960835,0.021851522234968824,11.9,0.497539
0.32,0.04181,0.0,0.09592329568960835,0.02338741197672381,11.9,0.497539
0.34,0.04181,0.0,0.09592329568960835,0.024923301718478834,11.9,0.497539
0.36,0.04181,0.0,0.09592329568960835,0.027995081201989274,11.9,0.497539
0.38,0.04181,0.0,0.09592329568960835,0.02953097094374405,11.9,0.497539
0.4,0.04181,0.0,0.09592329568960835,0.03106686068549927,11.9,0.497539
0.42,0.04181,0.0,0.09592329568960835,0.03413864016900884,11.9,0.497539
0.44,0.04181,0.0,0.09592329568960835,0.035674529910764065,11.9,0.497539
0.46,0.04181,0.00269,0.07194247176720626,0.03721041965251885,11.9,0.497539
0.48,0.04181,0.00269,0.07194247176720626,0.03874630939427407,11.9,0.497539
0.5,0.04181,0.00269,0.07194247176720626,0.040282199136029075,11.9,0.497539
0.52,0.04181,0.00269,0.07194247176720626,0.04335397861953908,11.9,0.497539
0.54,0.04181,0.00269,0.07194247176720626,0.04488986836129386,11.9,0.497539
0.56,0.04181,0.00269,0.07194247176720626,0.04642575810304909,11.9,0.497539
0.58,0.04181,0.00269,0.07194247176720626,0.04642575810304909,11.9,0.497539
0.6,0.04181,0.00538,0.07194247176720626,0.049497537586559094,11.9,0.497539
0.62,0.04181,0.00538,0.07194247176720626,0.051033427328313875,11.9,0.497539
0.64,0.04181,0.00538,0.07194247176720626,0.0525693170700691,11.9,0.497539
0.66,0.04181,0.00538,0.07194247176720626,0.05410520681182433,11.9,0.497539
0.68,0.04181,0.00538,0.07194247176720626,0.05564109655357911,11.9,0.497539
0.7000000000000001,0.04181,0.00538,0.07194247176720626,0.057176986295334103,11.9,0.497539
0.72,0.04181,0.00538,0.07194247176720626,0.058712876037089114,11.9,0.497539
0.74,0.04181,0.00807,0.07194247176720626,0.06024876577884412,11.9,0.497539
0.76,0.04181,0.00807,0.07194247176720626,0.06178465552059912,11.9,0.497539
0.78,0.04181,0.00807,0.07194247176720626,0.06332054526235413,11.9,0.497539
0.8,0.04181,0.00807,0.07194247176720626,0.06485643500410913,11.9,0.497539
0.8200000000000001,0.04181,0.00807,0.07194247176720626,0.06639232474586414,11.9,0.497539
0.84,0.04181,0.00807,0.07194247176720626,0.06792821448761935,11.9,0.497539
0.86,0.04181,0.00807,0.047961647844804174,0.06946410422937414,11.9,0.497539
0.88,0.04181,0.01076,0.047961647844804174,0.07099999397112937,11.9,0.497539
0.9,0.04181,0.01076,0.047961647844804174,0.07253588371288415,11.9,0.497539
0.92,0.04181,0.01076,0.047961647844804174,0.07407177345463938,11.9,0.497539
0.9400000000000001,0.04181,0.01076,0.047961647844804174,0.07407177345463938,11.9,0.497539
0.96,0.04181,0.01345,0.047961647844804174,0.07560766319639413,11.9,0.497539
0.98,0.04181,0.01345,0.047961647844804174,0.07714355293814938,11.9,0.497539
1.0,0.04181,0.01345,0.047961647844804174,0.07867944267990439,11.9,0.497539
1.02,0.04181,0.01345,0.047961647844804174,0.07867944267990439,11.9,0.497539
1.04,0.04181,0.01345,0.047961647844804174,0.08021533242165939,11.9,0.497539
1.06,0.04181,0.01345,0.047961647844804174,0.0817512221634144,11.9,0.497539
1.08,0.04181,0.01614,0.047961647844804174,0.08328711190516917,11.9,0.497539
1.1,0.04181,0.01614,0.047961647844804174,0.08328711190516917,11.9,0.497539
1.12,0.04181,0.01614,0.047961647844804174,0.08482300164692441,11.9,0.497539
1.1400000000000001,0.04181,0.01614,0.047961647844804174,0.08635889138867917,11.9,0.497539
1.16,0.04181,0.01614,0.047961647844804174,0.08789478113043442,11.9,0.497539
1.18,0.04181,0.01614,0.047961647844804174,0.08789478113043442,11.9,0.497539
1.2,0.04181,0.01614,0.047961647844804174,0.08943067087218917,11.9,0.497539
1.22,0.04181,0.01614,0.023980823922402087,0.08943067087218917,11.9,0.497539
1.24,0.04181,0.01614,0.023980823922402087,0.09096656061394442,11.9,0.497539
1.26,0.04181,0.01614,0.023980823922402087,0.09250245035569961,11.9,0.497539
1.28,0.04181,0.01614,0.047961647844804174,0.0940383400974544,11.9,0.497539
1.3,0.04181,0.01614,0.047961647844804174,0.0940383400974544,11.9,0.497539
1.32,0.04181,0.01614,0.047961647844804174,0.09557422983920966,11.9,0.497539
