timestamp,DXL_PWM,DXL_Current,DXL_Velocity,θ(t),DXL_Input_Voltage,U
0.0,0.0,-0.00269,0.0,-0.013473941825396482,11.9,0.0
0.02,0.06215,0.040350000000000004,0.0,-0.013473941825396482,11.9,0.7395849999999999
0.04,0.06215,0.00269,0.0,-0.013473941825396482,11.9,0.7395849999999999
0.06,0.06215,0.0,0.0,-0.011938052083641256,11.9,0.7395849999999999
0.08,0.06215,0.00269,0.0,-0.010402162341886031,11.9,0.7395849999999999
0.1,0.06215,0.00269,0.047961647844804174,-0.00886627260013125,11.9,0.7395849999999999
0.12,0.06215,0.00269,0.07194247176720626,-0.005794493116621242,11.9,0.7395849999999999
0.14,0.06215,0.0,0.09592329568960835,-0.002722713633111238,11.9,0.7395849999999999
0.16,0.06215,0.0,0.11990411961201045,0.0003490658503987693,11.9,0.7395849999999999
0.18,0.06215,0.0,0.14388494353441253,0.00495673507566378,11.9,0.7395849999999999
0.2,0.06215,0.0,0.1678657674568146,0.008028514559173788,11.9,0.7395849999999999
0.22,0.06328,0.0,0.1678657674568146,0.012636183784438577,11.9,0.753032
0.24,0.06328,0.0,0.1678657674568146,0.015707963267949026,11.9,0.753032
0.26,0.06328,0.0,0.1678657674568146,0.018779742751458817,11.9,0.753032
0.28,0.06328,0.0,0.1678657674568146,0.021851522234968824,11.9,0.753032
0.3,0.06328,0.0,0.1678657674568146,0.024923301718478834,11.9,0.753032
0.32,0.06328,0.0,0.1678657674568146,0.027995081201989274,11.9,0.753032
0.34,0.06328,0.0,0.1678657674568146,0.03260275042725406,11.9,0.753032
0.36,0.06328,0.0,0.14388494353441253,0.035674529910764065,11.9,0.753032
0.38,0.06328,0.0,0.14388494353441253,0.03874630939427407,11.9,0.753032
0.4,0.06328,0.00269,0.14388494353441253,0.0418180888777843,11.9,0.753032
0.42,0.06328,0.00269,0.14388494353441253,0.04488986836129386,11.9,0.753032
0.44,0.06328,0.00269,0.14388494353441253,0.04796164784480387,11.9,0.753032
0.46,0.06328,0.00269,0.14388494353441253,0.051033427328313875,11.9,0.753032
0.48,0.06328,0.00269,0.14388494353441253,0.05410520681182433,11.9,0.753032
0.5,0.06328,0.00538,0.14388494353441253,0.057176986295334103,11.9,0.753032
0.52,0.06328,0.00538,0.14388494353441253,0.06024876577884412,11.9,0.753032
0.54,0.06328,0.00538,0.14388494353441253,0.06332054526235413,11.9,0.753032
