t,DXL_PWM,DXL_Current,DXL_Velocity,DXL_Position,DXL_Input_Voltage,U
0.0,0.0,-0.00269,0.0,0.005026548245743668,11.9,0.0
0.02,0.0067800000000000004,-0.00269,0.0,0.005026548245743668,11.9,0.080682
0.04,0.014690000000000002,0.0,0.0,0.006562437987498448,11.9,0.17481100000000002
0.06,0.022600000000000002,0.0,0.0,0.005026548245743668,11.9,0.26894
0.08,0.030510000000000002,0.0,0.0,0.006562437987498448,11.9,0.36306900000000003
0.1,0.03955,0.0,0.0,0.006562437987498448,11.9,0.47064500000000004
0.12,0.04746,0.00538,0.0,0.006562437987498448,11.9,0.564774
0.14,0.054240000000000003,0.00538,0.0,0.006562437987498448,11.9,0.645456
0.16,0.06215,0.00538,0.0,0.008098327729253674,11.9,0.7395849999999999
0.18,0.07006,0.01345,0.023980823922402087,0.01117010721276368,11.9,0.833714
0.2,0.07684,0.01345,0.047961647844804174,0.012705996954518461,11.9,0.9143960000000001
0.22,0.08362,0.01076,0.09592329568960835,0.017313666179783693,11.9,0.995078
0.24,0.09040000000000001,0.00807,0.14388494353441253,0.020385445663293703,11.9,1.07576
0.26,0.09605000000000001,0.00807,0.1678657674568146,0.026529004630313713,11.9,1.1429950000000002
0.28,0.10282999999999999,0.01076,0.1918465913792167,0.031136673855578723,11.9,1.223677
0.3,0.10735,0.01076,0.21582741530161878,0.037280232822598736,11.9,1.277465
0.32,0.113,0.01076,0.2398082392240209,0.04342379178961897,11.9,1.3447
0.34,0.11752000000000001,0.01076,0.263789063146423,0.049567350756638755,11.9,1.3984880000000002
0.36,0.12204000000000001,0.01345,0.28776988706882506,0.055710909723659,11.9,1.4522760000000001
0.38,0.12656,0.01345,0.28776988706882506,0.06185446869067901,11.9,1.506064
0.4,0.12995,0.01345,0.3117507109912271,0.06953391739945403,11.9,1.5464050000000003
0.42,0.13334,0.01614,0.3117507109912271,0.07567747636647404,11.9,1.586746
0.44,0.13673,0.01614,0.3357315349136292,0.08335692507524904,11.9,1.627087
0.46,0.13899,0.01614,0.3357315349136292,0.09103637378402407,11.9,1.6539810000000001
0.48,0.14125,0.02152,0.3597123588360313,0.10025171223455431,11.9,1.680875
0.5,0.14351,0.02152,0.3597123588360313,0.10793116094332933,11.9,1.707769
0.52,0.14464,0.02152,0.3836931827584334,0.11561060965210412,11.9,1.7212159999999999
0.54,0.14577,0.02152,0.3836931827584334,0.12329005836087936,11.9,1.7346630000000003
0.56,0.1469,0.024210000000000002,0.3836931827584334,0.12943361732789938,11.9,1.74811
0.58,0.14803,0.024210000000000002,0.3836931827584334,0.13864895577842917,11.9,1.761557
0.6,0.14803,0.0269,0.3836931827584334,0.14632840448720466,11.9,1.761557
0.62,0.14803,0.0269,0.3836931827584334,0.15247196345422442,11.9,1.761557
0.64,0.1469,0.029589999999999998,0.3836931827584334,0.16168730190475464,11.9,1.74811
0.66,0.1469,0.029589999999999998,0.3836931827584334,0.16783086087177465,11.9,1.74811
0.68,0.14577,0.029589999999999998,0.3597123588360313,0.1755103095805497,11.9,1.7346630000000003
0.7000000000000001,0.14464,0.03228,0.3597123588360313,0.1831897582893249,11.9,1.7212159999999999
0.72,0.14351,0.03228,0.3597123588360313,0.19086920699809973,11.9,1.707769
0.74,0.14238,0.03497,0.3357315349136292,0.19701276596512,11.9,1.694322
0.76,0.14125,0.03497,0.3357315349136292,0.20315632493214,11.9,1.680875
0.78,0.13899,0.04304,0.3357315349136292,0.20929988389916002,11.9,1.6539810000000001
0.8,0.13785999999999998,0.04573,0.3117507109912271,0.21544344286617978,11.9,1.640534
0.8200000000000001,0.1356,0.04573,0.3117507109912271,0.22158700183320024,11.9,1.61364
0.84,0.13334,0.04573,0.3117507109912271,0.2277305608002198,11.9,1.586746
0.86,0.13221,0.048420000000000005,0.28776988706882506,0.23387411976724007,11.9,1.573299
0.88,0.12995,0.05111,0.28776988706882506,0.23848178899250483,11.9,1.5464050000000003
0.9,0.12882,0.05111,0.28776988706882506,0.24462534795952529,11.9,1.5329579999999998
0.92,0.12656,0.0538,0.263789063146423,0.24769712744303532,11.9,1.506064
0.9400000000000001,0.1243,0.0538,0.2398082392240209,0.2523047966683001,11.9,1.4791699999999999
0.96,0.12317,0.0538,0.2398082392240209,0.2569124658935651,11.9,1.465723
0.98,0.12091000000000002,0.0538,0.2398082392240209,0.2615201351188303,11.9,1.4388290000000004
1.0,0.11978,0.0538,0.2398082392240209,0.2661278043440951,11.9,1.425382
1.02,0.11865,0.05649,0.21582741530161878,0.27073547356936034,11.9,1.4119350000000002
