Column1,Column2,Column3,Column4,Column5
time,q1_l,q1_r,q2_l,q2_r
0.0,0.0,0.0,0.0,0.0
0.02,25.06664671286085,25.06664671286085,25.06664671286085,25.06664671286085
0.04,49.73797743297096,49.73797743297096,49.73797743297096,49.73797743297096
0.06,73.62491053693559,73.62491053693559,73.62491053693559,73.62491053693559
0.08,96.35073482034306,96.35073482034306,96.35073482034306,96.35073482034306
0.1,117.55705045849463,117.55705045849463,117.55705045849463,117.55705045849463
0.12,136.90942118573773,136.90942118573773,136.90942118573773,136.90942118573773
0.14,154.10264855515786,154.10264855515786,154.10264855515786,154.10264855515786
0.16,168.86558510040302,168.86558510040302,168.86558510040302,168.86558510040302
0.18,180.9654104932039,180.9654104932039,180.9654104932039,180.9654104932039
0.2,190.2113032590307,190.2113032590307,190.2113032590307,190.2113032590307
0.22,196.4574501457377,196.4574501457377,196.4574501457377,196.4574501457377
0.24,199.6053456856543,199.6053456856543,199.6053456856543,199.6053456856543
0.26,199.6053456856543,199.6053456856543,199.6053456856543,199.6053456856543
0.28,196.4574501457377,196.4574501457377,196.4574501457377,196.4574501457377
0.3,190.21130325903073,190.21130325903073,190.21130325903073,190.21130325903073
0.32,180.9654104932039,180.9654104932039,180.9654104932039,180.9654104932039
0.34,168.865585100403,168.865585100403,168.865585100403,168.865585100403
0.36,154.10264855515786,154.10264855515786,154.10264855515786,154.10264855515786
0.38,136.90942118573776,136.90942118573776,136.90942118573776,136.90942118573776
0.4,117.55705045849464,117.55705045849464,117.55705045849464,117.55705045849464
0.42,96.35073482034312,96.35073482034312,96.35073482034312,96.35073482034312
0.44,73.62491053693563,73.62491053693563,73.62491053693563,73.62491053693563
0.46,49.737977432970965,49.737977432970965,49.737977432970965,49.737977432970965
0.48,25.06664671286091,25.06664671286091,25.06664671286091,25.06664671286091
0.5,2.4492935982947064e-14,2.4492935982947064e-14,2.4492935982947064e-14,2.4492935982947064e-14
0.52,-25.06664671286086,-25.06664671286086,-25.06664671286086,-25.06664671286086
0.54,-49.737977432971,-49.737977432971,-49.737977432971,-49.737977432971
0.56,-73.62491053693566,-73.62491053693566,-73.62491053693566,-73.62491053693566
0.58,-96.35073482034299,-96.35073482034299,-96.35073482034299,-96.35073482034299
0.6,-117.5570504584946,-117.5570504584946,-117.5570504584946,-117.5570504584946
0.62,-136.90942118573776,-136.90942118573776,-136.90942118573776,-136.90942118573776
0.64,-154.10264855515788,-154.10264855515788,-154.10264855515788,-154.10264855515788
0.66,-168.86558510040305,-168.86558510040305,-168.86558510040305,-168.86558510040305
0.68,-180.96541049320396,-180.96541049320396,-180.96541049320396,-180.96541049320396
0.7000000000000001,-190.2113032590307,-190.2113032590307,-190.2113032590307,-190.2113032590307
0.72,-196.45745014573774,-196.45745014573774,-196.45745014573774,-196.45745014573774
0.74,-199.6053456856543,-199.6053456856543,-199.6053456856543,-199.6053456856543
0.76,-199.6053456856543,-199.6053456856543,-199.6053456856543,-199.6053456856543
0.78,-196.45745014573774,-196.45745014573774,-196.45745014573774,-196.45745014573774
0.8,-190.21130325903073,-190.21130325903073,-190.21130325903073,-190.21130325903073
0.8200000000000001,-180.9654104932039,-180.9654104932039,-180.9654104932039,-180.9654104932039
0.84,-168.8655851004031,-168.8655851004031,-168.8655851004031,-168.8655851004031
0.86,-154.1026485551579,-154.1026485551579,-154.1026485551579,-154.1026485551579
0.88,-136.90942118573778,-136.90942118573778,-136.90942118573778,-136.90942118573778
0.9,-117.55705045849467,-117.55705045849467,-117.55705045849467,-117.55705045849467
0.92,-96.35073482034306,-96.35073482034306,-96.35073482034306,-96.35073482034306
0.9400000000000001,-73.62491053693557,-73.62491053693557,-73.62491053693557,-73.62491053693557
0.96,-49.73797743297107,-49.73797743297107,-49.73797743297107,-49.73797743297107
0.98,-25.06664671286093,-25.06664671286093,-25.06664671286093,-25.06664671286093
1.0,-4.898587196589413e-14,-4.898587196589413e-14,-4.898587196589413e-14,-4.898587196589413e-14
1.02,25.066646712860834,25.066646712860834,25.066646712860834,25.066646712860834
1.04,49.73797743297098,49.73797743297098,49.73797743297098,49.73797743297098
1.06,73.62491053693564,73.62491053693564,73.62491053693564,73.62491053693564
1.08,96.35073482034313,96.35073482034313,96.35073482034313,96.35073482034313
1.1,117.55705045849471,117.55705045849471,117.55705045849471,117.55705045849471
1.12,136.90942118573787,136.90942118573787,136.90942118573787,136.90942118573787
1.1400000000000001,154.10264855515786,154.10264855515786,154.10264855515786,154.10264855515786
1.16,168.86558510040294,168.86558510040294,168.86558510040294,168.86558510040294
1.18,180.96541049320388,180.96541049320388,180.96541049320388,180.96541049320388
1.2,190.2113032590307,190.2113032590307,190.2113032590307,190.2113032590307
1.22,196.4574501457377,196.4574501457377,196.4574501457377,196.4574501457377
1.24,199.6053456856543,199.6053456856543,199.6053456856543,199.6053456856543
1.26,199.6053456856543,199.6053456856543,199.6053456856543,199.6053456856543
1.28,196.4574501457377,196.4574501457377,196.4574501457377,196.4574501457377
1.3,190.21130325903073,190.21130325903073,190.21130325903073,190.21130325903073
1.32,180.96541049320385,180.96541049320385,180.96541049320385,180.96541049320385
1.34,168.86558510040302,168.86558510040302,168.86558510040302,168.86558510040302
1.36,154.1026485551577,154.1026485551577,154.1026485551577,154.1026485551577
1.3800000000000001,136.90942118573767,136.90942118573767,136.90942118573767,136.90942118573767
1.4000000000000001,117.55705045849467,117.55705045849467,117.55705045849467,117.55705045849467
1.42,96.35073482034325,96.35073482034325,96.35073482034325,96.35073482034325
1.44,73.6249105369356,73.6249105369356,73.6249105369356,73.6249105369356
1.46,49.7379774329711,49.7379774329711,49.7379774329711,49.7379774329711
1.48,25.06664671286078,25.06664671286078,25.06664671286078,25.06664671286078
1.5,7.347880794884119e-14,7.347880794884119e-14,7.347880794884119e-14,7.347880794884119e-14
1.52,-25.066646712860635,-25.066646712860635,-25.066646712860635,-25.066646712860635
1.54,-49.73797743297095,-49.73797743297095,-49.73797743297095,-49.73797743297095
1.56,-73.62491053693545,-73.62491053693545,-73.62491053693545,-73.62491053693545
1.58,-96.3507348203431,-96.3507348203431,-96.3507348203431,-96.3507348203431
1.6,-117.55705045849456,-117.55705045849456,-117.55705045849456,-117.55705045849456
1.62,-136.90942118573784,-136.90942118573784,-136.90942118573784,-136.90942118573784
1.6400000000000001,-154.10264855515786,-154.10264855515786,-154.10264855515786,-154.10264855515786
1.6600000000000001,-168.86558510040314,-168.86558510040314,-168.86558510040314,-168.86558510040314
1.68,-180.9654104932038,-180.9654104932038,-180.9654104932038,-180.9654104932038
1.7,-190.21130325903067,-190.21130325903067,-190.21130325903067,-190.21130325903067
1.72,-196.4574501457377,-196.4574501457377,-196.4574501457377,-196.4574501457377
1.74,-199.6053456856543,-199.6053456856543,-199.6053456856543,-199.6053456856543
1.76,-199.6053456856543,-199.6053456856543,-199.6053456856543,-199.6053456856543
1.78,-196.4574501457377,-196.4574501457377,-196.4574501457377,-196.4574501457377
1.8,-190.21130325903076,-190.21130325903076,-190.21130325903076,-190.21130325903076
1.82,-180.96541049320385,-180.96541049320385,-180.96541049320385,-180.96541049320385
1.84,-168.86558510040302,-168.86558510040302,-168.86558510040302,-168.86558510040302
1.86,-154.1026485551577,-154.1026485551577,-154.1026485551577,-154.1026485551577
1.8800000000000001,-136.9094211857377,-136.9094211857377,-136.9094211857377,-136.9094211857377
1.9000000000000001,-117.5570504584947,-117.5570504584947,-117.5570504584947,-117.5570504584947
1.92,-96.35073482034326,-96.35073482034326,-96.35073482034326,-96.35073482034326
1.94,-73.62491053693562,-73.62491053693562,-73.62491053693562,-73.62491053693562
1.96,-49.73797743297112,-49.73797743297112,-49.73797743297112,-49.73797743297112
