Column1,Column2,Column3,Column4,Column5
time,q1_l,q1_r,q2_l,q2_r
2.0,-4.898587196589413e-14,-4.898587196589413e-14,-4.898587196589413e-14,-4.898587196589413e-14
2.02,12.558103905862556,12.558103905862556,12.558103905862556,12.558103905862556
2.04,25.066646712860834,25.066646712860834,25.066646712860834,25.066646712860834
2.06,37.476262917144844,37.476262917144844,37.476262917144844,37.476262917144844
2.08,49.73797743297098,49.73797743297098,49.73797743297098,49.73797743297098
2.1,61.80339887498943,61.80339887498943,61.80339887498943,61.80339887498943
2.12,73.62491053693564,73.62491053693564,73.62491053693564,73.62491053693564
2.14,85.1558583130145,85.1558583130145,85.1558583130145,85.1558583130145
2.16,96.35073482034313,96.35073482034313,96.35073482034313,96.35073482034313
2.18,107.16535899579934,107.16535899579934,107.16535899579934,107.16535899579934
2.2,117.55705045849471,117.55705045849471,117.55705045849471,117.55705045849471
2.22,127.48479794973797,127.48479794973797,127.48479794973797,127.48479794973797
2.24,136.90942118573787,136.90942118573787,136.90942118573787,136.90942118573787
2.2600000000000002,145.7937254842824,145.7937254842824,145.7937254842824,145.7937254842824
2.2800000000000002,154.10264855515786,154.10264855515786,154.10264855515786,154.10264855515786
2.3000000000000003,161.80339887498957,161.80339887498957,161.80339887498957,161.80339887498957
2.32,168.86558510040294,168.86558510040294,168.86558510040294,168.86558510040294
2.34,175.26133600877262,175.26133600877262,175.26133600877262,175.26133600877262
2.36,180.96541049320388,180.96541049320388,180.96541049320388,180.96541049320388
2.38,185.95529717765024,185.95529717765024,185.95529717765024,185.95529717765024
2.4,190.2113032590307,190.2113032590307,190.2113032590307,190.2113032590307
2.42,193.7166322257262,193.7166322257262,193.7166322257262,193.7166322257262
2.44,196.4574501457377,196.4574501457377,196.4574501457377,196.4574501457377
2.46,198.42294026289557,198.42294026289557,198.42294026289557,198.42294026289557
2.48,199.6053456856543,199.6053456856543,199.6053456856543,199.6053456856543
2.5,200.0,200.0,200.0,200.0
2.52,199.6053456856543,199.6053456856543,199.6053456856543,199.6053456856543
2.54,198.42294026289557,198.42294026289557,198.42294026289557,198.42294026289557
2.56,196.4574501457377,196.4574501457377,196.4574501457377,196.4574501457377
2.58,193.71663222572622,193.71663222572622,193.71663222572622,193.71663222572622
2.6,190.21130325903073,190.21130325903073,190.21130325903073,190.21130325903073
2.62,185.95529717765032,185.95529717765032,185.95529717765032,185.95529717765032
2.64,180.96541049320385,180.96541049320385,180.96541049320385,180.96541049320385
2.66,175.26133600877267,175.26133600877267,175.26133600877267,175.26133600877267
2.68,168.86558510040302,168.86558510040302,168.86558510040302,168.86558510040302
2.7,161.80339887498954,161.80339887498954,161.80339887498954,161.80339887498954
2.72,154.1026485551577,154.1026485551577,154.1026485551577,154.1026485551577
2.74,145.7937254842822,145.7937254842822,145.7937254842822,145.7937254842822
2.7600000000000002,136.90942118573767,136.90942118573767,136.90942118573767,136.90942118573767
2.7800000000000002,127.48479794973795,127.48479794973795,127.48479794973795,127.48479794973795
2.8000000000000003,117.55705045849467,117.55705045849467,117.55705045849467,117.55705045849467
