time,acc_sim,pos_sim,vel_sim,input_V,input_tau,tau_grav
0.0,-0.002544885260952694,0.0,0.0,0.0,0.0,-4.7243017681320324e-5
9.999999999999999e-5,-0.00254488475937302,-1.2724425886780589e-11,-2.544885093759338e-7,0.0,0.0,-4.724300837004105e-5
0.0010999999999999998,-0.0025448245700469435,-1.5396494631956264e-9,-2.799351533680271e-6,0.0,0.0,-4.724189102088598e-5
0.011099999999999997,-0.0025387077979343057,-1.5671421416603851e-7,-2.8225366082783196e-5,0.0,0.0,-4.712833982174007e-5
0.021099999999999997,-0.0025225870688209747,-5.656761759265225e-7,-5.354015658743725e-5,0.0,0.0,-4.682907607801757e-5
0.031099999999999996,-0.0024965259075750883,-1.2268139913101836e-6,-7.864396833152737e-5,0.0,0.0,-4.634527905957195e-5
0.0411,0.383702263883771,6.507298062260846e-7,0.001494285393852866,0.00269,0.007170733000000001,0.0071230138015093
0.04889875279821905,0.3827832154250475,2.39657956654044e-5,0.004483698056744085,0.00269,0.007170733000000001,0.007105952669814421
0.05889875279821905,0.38026277092193717,8.790619977391632e-5,0.0083001817428757,0.00269,0.007170733000000001,0.007059163368130681
0.06889875279821905,0.7619023777790752,0.00020544429609000028,0.015572279925746894,0.00538,0.014341466000000002,0.014143886192881665
0.07797241907334292,0.7550996245111613,0.0003780213226346264,0.02245652682067278,0.00538,0.014341466000000002,0.014017600502187148
0.08797241907334291,1.5161082012954212,0.000670700671626233,0.03685781172451114,0.01076,0.028682932000000005,0.028144894254989266
0.09584497491483417,1.5028233522959349,0.0010077201763682602,0.048743585238050544,0.01076,0.028682932000000005,0.027898275530834515
0.10584497491483416,1.8668238298464883,0.001572740597852492,0.06526363208475594,0.01345,0.035853665,0.034655547169278524
0.11371143934581499,1.8443184107992558,0.0021436749134548486,0.07986338413625027,0.01345,0.035853665,0.034237758624432346
0.12371143934581498,2.1953872025178227,0.003036758060336298,0.09973482403284306,0.01614,0.043024398000000005,0.04075496762752552
0.13161305579855698,2.161634635299458,0.0038930222141480147,0.11695211296609272,0.01614,0.043024398000000005,0.04012838805069611
0.14161305579855699,2.1113054683581565,0.005169821386430103,0.13832383399565107,0.01614,0.043024398000000005,0.03919408198976041
0.151613055798557,2.0526570717353394,0.006657681764918511,0.15915048791039785,0.01614,0.043024398000000005,0.03810533850841556
0.161613055798557,3.14440958539559,0.008359105195733784,0.1841431824495517,0.024210000000000002,0.06453659700000001,0.05837253251431298
0.16845870224779624,3.09183288710021,0.009692962960625016,0.20549202404581604,0.024210000000000002,0.06453659700000001,0.057396503486480004
0.17845870224779625,3.0047972641595107,0.011901074374739596,0.23598518979238625,0.024210000000000002,0.06453659700000001,0.05578078212702161
0.18845870224779626,3.291583106998652,0.0144251507580688,0.26903682920665856,0.0269,0.07170733,0.061104648335013195
0.1978197255472955,3.186695832767003,0.017086338485660345,0.2993672158404133,0.0269,0.07170733,0.05915753055052956
0.2078197255472955,3.0625099414788663,0.020237327040094122,0.3306235048184314,0.0269,0.07170733,0.056852155000631587
0.2178197255472955,2.9262673176385356,0.023694466095729165,0.3605772201828084,0.0269,0.07170733,0.054322959368201154
0.22781972554729552,3.5498520725340117,0.02747465490822248,0.3960099560066822,0.03228,0.08604879600000001,0.0658991298358238
0.2360270162570923,3.417136431872188,0.030842918092587237,0.4246063221447765,0.03228,0.08604879600000001,0.06343540879716797
0.2460270162570923,3.2432350253548923,0.03525699445757763,0.4579190958313599,0.03228,0.08604879600000001,0.06020711896070302
0.2560270162570923,3.0565907035921276,0.03999528811254934,0.4894285405118294,0.03228,0.08604879600000001,0.056742270808823915
0.2660270162570923,3.24411226809595,0.04504192909375274,0.5206086374535696,0.03497,0.09321952900000001,0.06022340401487126
0.2742953629912543,3.0703325011071114,0.049455438659279594,0.546719479319321,0.03497,0.09321952900000001,0.056997372283509075
0.2842953629912543,2.8492183662345534,0.05507251325960606,0.5763268924717205,0.03497,0.09321952900000001,0.0528926296675439
0.2942953629912543,2.6169660080521475,0.060974416859062,0.6036667141789831,0.03497,0.09321952900000001,0.04858111809077748
0.3042953629912543,3.5329976370362988,0.0671462967533698,0.6334253603597558,0.04304,0.11473172800000002,0.06558624563375608
0.31145633527707905,3.3511274676186322,0.07177128378838384,0.6580779827287275,0.04304,0.11473172800000002,0.06221002441021571
0.32145633527707906,3.0860412137662485,0.07851525420749964,0.6902742607906263,0.04304,0.11473172800000002,0.057288987391385666
0.3314563352770791,2.8089792685382995,0.08556772893008309,0.7197588825758833,0.04304,0.11473172800000002,0.052145634731028415
0.3414563352770791,3.293390340230694,0.09290658761790971,0.7496131095540075,0.048420000000000005,0.12907319400000003,0.061138197647764375
0.3491087790375895,3.064612541105219,0.09873717476917403,0.7739448166679628,0.048420000000000005,0.12907319400000003,0.05689118746816507
0.35910877903758953,2.7553356124179027,0.10662474563562883,0.8030538600152995,0.048420000000000005,0.12907319400000003,0.051149798795526245
0.36910877903758954,2.4355334883245434,0.11478776233577684,0.8290164402476585,0.048420000000000005,0.12907319400000003,0.045213021356133754
0.37910877903758955,2.1065075335690224,0.12319425550447682,0.851733779679185,0.048420000000000005,0.12907319400000003,0.039105013566301486
0.38910877903758956,2.155258890032001,0.1318269176271471,0.8746086364089007,0.05111,0.13624392700000001,0.04001002929754378
0.3989956571853316,1.8136630614474185,0.14057386950423295,0.8942346665926267,0.05111,0.13624392700000001,0.03366867551735593
0.4089956571853316,1.8472321426011997,0.14961663988083945,0.9141040949518231,0.0538,0.14341466,0.03429184887563146
