timestamp,DXL_PWM,DXL_Current,ω(t),θ(t),DXL_Input_Voltage,U
0.0,0.0,-0.00269,0.0,-0.013683381335635585,11.9,0.0
0.02,0.00113,-0.00269,0.0,-0.013683381335635585,11.9,0.013446999999999999
0.04,0.00226,-0.00269,0.0,-0.012147491593880363,11.9,0.026893999999999998
0.06,0.00452,-0.00269,0.0,-0.013683381335635585,11.9,0.053787999999999996
0.08,0.0056500000000000005,-0.00269,0.0,-0.013683381335635585,11.9,0.067235
0.1,0.00791,0.0,0.0,-0.013683381335635585,11.9,0.094129
0.12,0.00904,0.0,0.0,-0.012147491593880363,11.9,0.10757599999999999
0.14,0.011300000000000001,0.0,0.0,-0.012147491593880363,11.9,0.13447
0.16,0.012430000000000002,0.0,0.0,-0.012147491593880363,11.9,0.14791700000000002
0.18,0.014690000000000002,0.0,0.0,-0.012147491593880363,11.9,0.17481100000000002
0.2,0.01582,0.0,0.0,-0.010611601852125582,11.9,0.188258
0.22,0.01808,0.0,0.0,-0.010611601852125582,11.9,0.21515199999999998
0.24,0.01921,0.0,0.0,-0.009075712110370355,11.9,0.22859900000000002
0.26,0.020340000000000004,0.0,0.0,-0.010611601852125582,11.9,0.24204600000000007
0.28,0.022600000000000002,0.0,0.023980823922402087,-0.009075712110370355,11.9,0.26894
0.3,0.02373,0.0,0.023980823922402087,-0.009075712110370355,11.9,0.282387
0.32,0.024860000000000004,0.0,0.023980823922402087,-0.009075712110370355,11.9,0.29583400000000004
0.34,0.027120000000000002,0.0,0.023980823922402087,-0.007539822368615572,11.9,0.322728
0.36,0.02825,0.0,0.023980823922402087,-0.006003932626860573,11.9,0.336175
0.38,0.029380000000000003,0.0,0.023980823922402087,-0.006003932626860573,11.9,0.34962200000000004
0.4,0.030510000000000002,0.0,0.023980823922402087,-0.004468042885105569,11.9,0.36306900000000003
0.42,0.03277,0.0,0.023980823922402087,-0.0029321531433507864,11.9,0.389963
0.44,0.0339,0.0,0.047961647844804174,-0.0029321531433507864,11.9,0.40341
0.46,0.03503,0.0,0.047961647844804174,0.00013962634015944185,11.9,0.416857
0.48,0.03616,0.0,0.047961647844804174,0.00013962634015944185,11.9,0.43030399999999996
0.5,0.037290000000000004,0.0,0.047961647844804174,0.003211405823669449,11.9,0.44375100000000006
0.52,0.03842,0.0,0.07194247176720626,0.0047472955654246736,11.9,0.45719800000000005
0.54,0.03955,0.0,0.07194247176720626,0.006283185307179456,11.9,0.47064500000000004
0.56,0.04068000000000001,0.0,0.07194247176720626,0.00935496479068946,11.9,0.48409200000000013
0.58,0.04068000000000001,0.0,0.09592329568960835,0.010890854532444245,11.9,0.48409200000000013
0.6,0.04181,0.0,0.09592329568960835,0.012426744274199467,11.9,0.497539
0.62,0.042940000000000006,0.0,0.09592329568960835,0.013962634015954696,11.9,0.510986
0.64,0.04407,0.0,0.07194247176720626,0.015498523757709699,11.9,0.524433
0.66,0.04407,0.0,0.07194247176720626,0.017034413499464485,11.9,0.524433
0.68,0.045200000000000004,0.0,0.07194247176720626,0.018570303241219704,11.9,0.53788
0.7000000000000001,0.045200000000000004,0.0,0.07194247176720626,0.02164208272472948,11.9,0.53788
0.72,0.04633,0.0,0.07194247176720626,0.0231779724664845,11.9,0.551327
0.74,0.04633,0.0,0.09592329568960835,0.024713862208239717,11.9,0.551327
0.76,0.04746,0.0,0.09592329568960835,0.02778564169174972,11.9,0.564774
0.78,0.04746,0.0,0.09592329568960835,0.030857421175259726,11.9,0.564774
0.8,0.04746,0.0,0.09592329568960835,0.032393310917014514,11.9,0.564774
0.8200000000000001,0.04746,0.0,0.09592329568960835,0.03392920065876973,11.9,0.564774
0.84,0.04859,0.0,0.09592329568960835,0.03700098014227974,11.9,0.578221
0.86,0.04859,0.0,0.09592329568960835,0.03853686988403474,11.9,0.578221
0.88,0.04859,0.0,0.09592329568960835,0.041608649367544756,11.9,0.578221
0.9,0.04859,0.0,0.09592329568960835,0.04468042885105476,11.9,0.578221
0.92,0.04859,0.0,0.09592329568960835,0.04621631859280954,11.9,0.578221
0.9400000000000001,0.04859,0.0,0.09592329568960835,0.04928809807631954,11.9,0.578221
0.96,0.04859,0.0,0.09592329568960835,0.050823987818074776,11.9,0.578221
0.98,0.04746,0.00269,0.09592329568960835,0.05235987755983,11.9,0.564774
1.0,0.04746,0.00269,0.09592329568960835,0.05543165704333977,11.9,0.564774
1.02,0.04746,0.00269,0.09592329568960835,0.05696754678509479,11.9,0.564774
1.04,0.04633,0.00269,0.09592329568960835,0.05850343652684978,11.9,0.551327
1.06,0.04633,0.00269,0.09592329568960835,0.060039326268604795,11.9,0.551327
1.08,0.04633,0.00538,0.09592329568960835,0.0631111057521148,11.9,0.551327
1.1,0.045200000000000004,0.00538,0.09592329568960835,0.06464699549386982,11.9,0.53788
1.12,0.045200000000000004,0.00538,0.09592329568960835,0.06618288523562502,11.9,0.53788
1.1400000000000001,0.04407,0.00538,0.07194247176720626,0.06771877497737981,11.9,0.524433
1.16,0.042940000000000006,0.00538,0.07194247176720626,0.07079055446088983,11.9,0.510986
1.18,0.042940000000000006,0.00807,0.07194247176720626,0.07079055446088983,11.9,0.510986
1.2,0.04181,0.00807,0.07194247176720626,0.07232644420264504,11.9,0.497539
1.22,0.04068000000000001,0.00807,0.07194247176720626,0.07539822368615504,11.9,0.48409200000000013
1.24,0.04068000000000001,0.00807,0.07194247176720626,0.07539822368615504,11.9,0.48409200000000013
1.26,0.03955,0.00807,0.07194247176720626,0.07693411342791007,11.9,0.47064500000000004
