Column1,Column2,Column3,Column4,Column5
time,q1_l,q1_r,q2_l,q2_r
2.84,8.0,8.0,8.0,8.0
2.86,8.0,8.0,8.0,8.0
2.88,8.0,8.0,8.0,8.0
2.9,8.0,8.0,8.0,8.0
2.92,8.0,8.0,8.0,8.0
2.94,8.0,8.0,8.0,8.0
2.96,8.0,8.0,8.0,8.0
2.98,8.0,8.0,8.0,8.0
3.0,8.0,8.0,8.0,8.0
3.02,8.0,8.0,8.0,8.0
3.04,8.0,8.0,8.0,8.0
3.06,8.0,8.0,8.0,8.0
3.08,8.0,8.0,8.0,8.0
3.1,8.0,8.0,8.0,8.0
3.12,8.0,8.0,8.0,8.0
3.14,8.0,8.0,8.0,8.0
3.16,8.0,8.0,8.0,8.0
3.18,8.0,8.0,8.0,8.0
3.2,8.0,8.0,8.0,8.0
3.22,8.0,8.0,8.0,8.0
3.24,8.0,8.0,8.0,8.0
3.2600000000000002,8.0,8.0,8.0,8.0
3.2800000000000002,8.0,8.0,8.0,8.0
3.3000000000000003,8.0,8.0,8.0,8.0
3.3200000000000003,8.0,8.0,8.0,8.0
3.34,8.0,8.0,8.0,8.0
3.36,8.0,8.0,8.0,8.0
3.38,8.0,8.0,8.0,8.0
3.4,8.0,8.0,8.0,8.0
3.42,8.0,8.0,8.0,8.0
3.44,8.0,8.0,8.0,8.0
3.46,8.0,8.0,8.0,8.0
3.48,8.0,8.0,8.0,8.0
3.5,8.0,8.0,8.0,8.0
3.52,8.0,8.0,8.0,8.0
3.54,8.0,8.0,8.0,8.0
3.56,8.0,8.0,8.0,8.0
3.58,8.0,8.0,8.0,8.0
3.6,8.0,8.0,8.0,8.0
3.62,8.0,8.0,8.0,8.0
3.64,8.0,8.0,8.0,8.0
3.66,8.0,8.0,8.0,8.0
3.68,8.0,8.0,8.0,8.0
3.7,8.0,8.0,8.0,8.0
3.72,8.0,8.0,8.0,8.0
3.74,8.0,8.0,8.0,8.0
3.7600000000000002,8.0,8.0,8.0,8.0
3.7800000000000002,8.0,8.0,8.0,8.0
3.8000000000000003,8.0,8.0,8.0,8.0
3.8200000000000003,8.0,8.0,8.0,8.0
3.84,8.0,8.0,8.0,8.0
3.86,8.0,8.0,8.0,8.0
3.88,8.0,8.0,8.0,8.0
3.9,8.0,8.0,8.0,8.0
3.92,8.0,8.0,8.0,8.0
3.94,8.0,8.0,8.0,8.0
3.96,8.0,8.0,8.0,8.0
3.98,8.0,8.0,8.0,8.0
4.0,8.0,8.0,8.0,8.0
4.0200000000000005,8.0,8.0,8.0,8.0
4.04,8.0,8.0,8.0,8.0
4.0600000000000005,8.0,8.0,8.0,8.0
4.08,8.0,8.0,8.0,8.0
4.1,8.0,8.0,8.0,8.0
4.12,8.0,8.0,8.0,8.0
4.14,8.0,8.0,8.0,8.0
4.16,8.0,8.0,8.0,8.0
4.18,8.0,8.0,8.0,8.0
4.2,8.0,8.0,8.0,8.0
4.22,8.0,8.0,8.0,8.0
4.24,8.0,8.0,8.0,8.0
4.26,8.0,8.0,8.0,8.0
4.28,8.0,8.0,8.0,8.0
4.3,8.0,8.0,8.0,8.0
4.32,8.0,8.0,8.0,8.0
4.34,8.0,8.0,8.0,8.0
4.36,8.0,8.0,8.0,8.0
4.38,8.0,8.0,8.0,8.0
4.4,8.0,8.0,8.0,8.0
4.42,8.0,8.0,8.0,8.0
4.44,8.0,8.0,8.0,8.0
4.46,8.0,8.0,8.0,8.0
4.48,8.0,8.0,8.0,8.0
4.5,8.0,8.0,8.0,8.0
4.5200000000000005,8.0,8.0,8.0,8.0
4.54,8.0,8.0,8.0,8.0
4.5600000000000005,8.0,8.0,8.0,8.0
4.58,8.0,8.0,8.0,8.0
4.6000000000000005,8.0,8.0,8.0,8.0
4.62,8.0,8.0,8.0,8.0
4.64,8.0,8.0,8.0,8.0
4.66,8.0,8.0,8.0,8.0
4.68,8.0,8.0,8.0,8.0
4.7,8.0,8.0,8.0,8.0
4.72,8.0,8.0,8.0,8.0
4.74,8.0,8.0,8.0,8.0
4.76,8.0,8.0,8.0,8.0
