time,acc_sim,pos_sim,vel_sim,input_V,input_tau,tau_grav,tau_f
0.0,-0.002544885260952694,0.0,0.0,0.0,0.0,-4.7243017681320324e-5,-4.7243017681320324e-5
9.999999999999999e-5,-0.0026218289818444145,-3.868318825233447e-11,-1.4611829261485865e-6,-0.00242046,-0.0009549785129962997,-0.0010022215023706466,-4.867139389235365e-5
0.0002463756079274643,0.10241879045366128,-2.576994870169782e-10,-6.600328114902183e-6,-0.0059634230396411044,-0.0023528341169712927,-0.0024000769460773425,0.0019012930769579804
0.00041096641942814155,2.695533603847331,-5.203286200945348e-9,-0.00011777430830748713,-0.009947277795690398,-0.003924641001169004,-0.0039718802112714965,0.050039639767287626
0.0005981777601507255,3.12321474181336,-9.16246265518797e-9,-0.00021600572367516598,-0.014478653413344254,-0.005712469078961972,-0.005759705391880669,0.057979073372766754
0.0007904617922552288,-3.8517514963501225,-1.4017157820779614e-8,0.00022101153436475778,-0.019132811496820914,-0.007548740269482885,-0.0075959730299092094,-0.07150356318146929
0.0010136109143838294,3.0068779248572355,-1.5873765212828868e-8,-0.00035117810937634056,-0.024534046738294842,-0.009679766437750892,-0.009726997839578299,0.05581940732228666
0.0012629389610783707,-4.164315121539016,-2.499158158739367e-8,0.00029280640099463534,-0.03056893237731754,-0.012060795710557144,-0.012108020440292478,-0.07730596578794616
0.0015486998318845482,2.7285419643942106,-1.7892119340196453e-9,-0.0003377434211836659,-0.03748565995083274,-0.014789750625307255,-0.014836992333707244,0.05065240395940051
0.0018579103641447523,-4.4706297620307,-1.6828536906373034e-8,0.00029331319402771367,-0.044969977199978084,-0.017742644768313696,-0.01778987547147331,-0.08299236281292577
0.002207796587435808,-4.312073314916465,-2.6848436731270562e-8,0.00014794325784703118,-0.053438833280248774,-0.021083983020677537,-0.021131206391632656,-0.08004893540209591
0.0025917380147654876,2.214111749565496,-2.2721776781628993e-7,-0.0005044094078495761,-0.06273198195219273,-0.024750541154167277,-0.024797617902008875,0.0411025684096986
0.0030786938679403107,-4.272953601399931,-2.598269011984635e-7,0.0001004843477662634,-0.07451855359594807,-0.029400864919764652,-0.029447917805408178,-0.07932272061131275
0.0036776465768448984,1.7119744578459617,-8.880881785692611e-7,-0.00116101449728565,-0.08901596433390005,-0.03512073459281274,-0.03516732773931305,0.03178093756246915
0.0043203498337715225,1.2232152958685436,-1.3080218778893747e-6,-0.00022436964366411285,-0.10457233958650622,-0.0412584125987894,-0.04130469845282066,0.022707657094585727
0.005193279091677798,0.990629648149509,-1.476811315214481e-6,-0.0018427385717901786,-0.12570124310242445,-0.04959469944545238,-0.049640861785407414,0.018389958361284785
0.005919607892874678,0.5687239717615694,-2.591613629307346e-6,-0.0012780223882681626,-0.14328174120387446,-0.056530983430586206,-0.056576329998060525,0.010557739897343842
0.012235381777174637,-2.1782324197623617,-2.0080739491747958e-5,-0.0071391279369014465,-0.2961525217638013,-0.11684526695508261,-0.11687781560545768,-0.04043650780638135
0.019155777618017747,-3.888120655990195,-0.00013735077932718021,-0.028714063647746618,-0.46365793493307245,-0.18293356024942392,-0.18288029487678958,-0.07217871694116668
0.028558074693091434,-6.08705719169751,-0.0006153924534199427,-0.07648701632756696,-0.7602850329552013,-0.2999660685261896,-0.29956298936547787,-0.11299957406603062
0.038558074693091436,-7.1670897119415935,-0.0017066219693685255,-0.14354279907056572,-1.0830130329552012,-0.4272965369256962,-0.4260949355333047,-0.1330491991839784
0.04855807469309144,-6.741727936745864,-0.0034964677887574635,-0.21357888702896788,-1.348200817756201,-0.5319248457570925,-0.5294135035659567,-0.1251528220172503
0.05855807469309144,-6.448801278205939,-0.005963513957218502,-0.2793459485004118,-1.6036938177562012,-0.6327281332400353,-0.6284115149580304,-0.11971495826713718
0.06855807469309144,-5.18190256243969,-0.009059768203966726,-0.33762389155131,-1.7843845379975007,-0.7040186132844346,-0.6974363305595616,-0.09619636615309396
0.07804425719727115,-4.5298273231942625,-0.012483960785607708,-0.3832860253757142,-1.9438354081646314,-0.7669290331584141,-0.7578411935653491,-0.08409130093467604
0.08804425719727114,-3.5531488317373876,-0.01652853755595317,-0.4238525289817998,-2.068654457551949,-0.8161756681689131,-0.8041284625282721,-0.06596033057273948
0.09804425719727114,-3.0258660396973673,-0.020934084890735526,-0.4563855748231976,-2.182953957551949,-0.8612718757270718,-0.8460014122900018,-0.05617190095289987
0.10804425719727113,-2.2947043665223945,-0.025638173889499793,-0.4831018761013713,-2.2648021195924377,-0.8935645953245474,-0.8748527789586696,-0.04259868239420622
0.11804425719727113,-1.9008063511558249,-0.03057597681611301,-0.5038077960615215,-2.338760619592438,-0.9227444943327677,-0.9004207945956714,-0.03528639559286201
0.12804425719727114,-0.8135379868116639,-0.03569389305141908,-0.5177550268887698,-2.353225,-0.9284513320797358,-0.9023845760098039,-0.015102444925544967
0.13804425719727115,-0.2080254809234959,-0.040899852512112575,-0.5224364437301104,-2.353225,-0.9284513320797358,-0.8985778291521522,-0.003861766038817327
0.14804425719727116,0.3825968270836299,-0.0461251219202213,-0.5215601955171816,-2.3315907746936593,-0.9199156734392806,-0.8862221179354162,0.007102492573658303
0.15804425719727117,0.6839824771649448,-0.0513154747390043,-0.5160124755577727,-2.3046967746936593,-0.9093048010726551,-0.8718176300803161,0.012697388270589471
0.16804425719727117,1.0597673197179713,-0.05643562670113466,-0.5073360332866849,-2.2615771057139034,-0.8922921847256879,-0.8510636969155652,0.019673423785235344
