Time (s),Signal
0.0,0.0
0.005,0.002083506958913243
0.01,0.004167013917826485
0.015,0.006250520876739721
0.02,0.008334027835652914
0.025,0.010417534794565945
0.03,0.012501041753478492
0.035,0.014584548712389865
0.04,0.016668055671298723
0.045,0.018751562630202716
0.05,0.020835069589097994
0.055,0.022918576547978572
0.06,0.025002083506835533
0.065,0.027085590465656093
0.07,0.029169097424422426
0.075,0.03125260438311032
0.08,0.033336111341687576
0.085,0.0354196183001122
0.09,0.0375031252583303
0.095,0.03958663221627373
0.1,0.04167013917385741
0.105,0.043753646130976376
0.11,0.045837153087502476
0.115,0.04792066004328069
0.12,0.05000416699812514
0.125,0.05208767395181472
0.13,0.05417118090408823
0.135,0.05625468785463923
0.14,0.058338194803110345
0.145,0.06042170174908722
0.15,0.0625052086920919
0.155,0.06458871563157584
0.16,0.06667222256691224
0.165,0.06875572949738812
0.17,0.07083923642219561
0.17500000000000002,0.0729227433404228
0.18,0.07500625025104395
0.185,0.07708975715290926
0.19,0.0791732640447339
0.195,0.08125677092508637
0.2,0.08334027779237636
0.20500000000000002,0.08542378464484192
0.21,0.08750729148053578
0.215,0.08959079829731133
0.22,0.09167430509280741
0.225,0.0937578118644329
0.23,0.09584131860935007
0.23500000000000001,0.09792482532445752
0.24,0.10000833200637223
0.245,0.10209183865141067
0.25,0.10417534525556936
0.255,0.10625885181450437
0.26,0.10834235832351007
0.265,0.11042586477749698
0.27,0.11250937117096886
0.275,0.1145928774979986
0.28,0.11667638375220356
0.28500000000000003,0.11875988992671968
0.29,0.12084339601417485
0.295,0.12292690200666108
0.3,0.12501040789570592
0.305,0.1270939136722426
0.31,0.1291774193265796
0.315,0.1312609248483686
0.32,0.13334443022657178
0.325,0.13542793544942786
0.33,0.13751144050441727
0.335,0.1395949453782258
0.34,0.1416784500567076
0.34500000000000003,0.14376195452484666
0.35000000000000003,0.1458454587667173
0.355,0.14792896276544348
0.36,0.15001246650315686
0.365,0.15209596996095373
0.37,0.15417947311885052
0.375,0.15626297595573832
0.38,0.15834647844933591
0.385,0.16042998057614163
0.39,0.16251348231138393
0.395,0.16459698362897052
0.4,0.16668048450143638
0.405,0.16876398489989014
0.41000000000000003,0.17084748479395934
0.41500000000000004,0.1729309841517341
0.42,0.1750144829397096
0.425,0.17709798112272687
0.43,0.17918147866391249
0.435,0.18126497552461637
0.44,0.1833484716643486
0.445,0.1854319670407142
