time,trajectory
0.0,0.0
0.02,0.03139525976465669
0.04,0.06266661678215213
0.06,0.0936906572928623
0.08,0.1243449435824274
0.1,0.1545084971874737
0.12,0.18406227634233896
0.14,0.21288964578253636
0.16,0.24087683705085766
0.18,0.26791339748949833
0.2,0.29389262614623657
0.22,0.3187119948743448
0.24,0.3422735529643443
0.26,0.3644843137107058
0.28,0.3852566213878946
0.3,0.4045084971874737
0.32,0.42216396275100754
0.34,0.43815334002193185
0.36,0.4524135262330098
0.38,0.4648882429441257
0.4,0.47552825814757677
0.42,0.48429158056431554
0.44,0.4911436253643443
0.46,0.49605735065723894
0.48,0.4990133642141358
0.5,0.5
0.52,0.4990133642141358
0.54,0.4960573506572389
0.56,0.4911436253643443
0.58,0.4842915805643156
0.6,0.4755282581475768
0.62,0.4648882429441257
0.64,0.45241352623300973
0.66,0.43815334002193174
0.68,0.4221639627510075
0.7000000000000001,0.4045084971874737
0.72,0.3852566213878946
0.74,0.3644843137107057
0.76,0.3422735529643444
0.78,0.31871199487434493
0.8,0.2938926261462366
0.8200000000000001,0.26791339748949833
0.84,0.2408768370508578
0.86,0.21288964578253644
0.88,0.18406227634233907
0.9,0.15450849718747375
0.92,0.12434494358242741
0.9400000000000001,0.09369065729286229
0.96,0.06266661678215227
0.98,0.03139525976465679
1.0,6.123233995736766e-17
1.02,-0.03139525976465667
1.04,-0.06266661678215214
1.06,-0.09369065729286238
1.08,-0.12434494358242751
1.1,-0.15450849718747386
1.12,-0.18406227634233915
1.1400000000000001,-0.21288964578253633
1.16,-0.2408768370508575
1.18,-0.2679133974894982
1.2,-0.2938926261462365
1.22,-0.3187119948743448
1.24,-0.34227355296434436
1.26,-0.36448431371070567
1.28,-0.3852566213878947
1.3,-0.40450849718747367
1.32,-0.42216396275100765
1.34,-0.4381533400219318
1.36,-0.4524135262330099
1.3800000000000001,-0.46488824294412573
1.4000000000000001,-0.47552825814757677
1.42,-0.4842915805643155
1.44,-0.49114362536434436
1.46,-0.4960573506572389
1.48,-0.4990133642141358
1.5,-0.5
1.52,-0.4990133642141358
1.54,-0.49605735065723894
1.56,-0.49114362536434436
1.58,-0.48429158056431554
1.6,-0.4755282581475768
1.62,-0.4648882429441256
