time,pos_sim,vel_sim
0.0,0.0,0.0
9.999999999999999e-5,-1.2673422891755392e-11,-2.529599546662715e-7
0.0010999999999999998,-1.4737597883688993e-9,-2.6216005466661263e-6
0.011099999999999997,-1.0520961390066198e-7,-1.5541947714019348e-5
0.03051351529334803,-4.7526702449926726e-7,-2.00997301058291e-5
0.0572249514594505,-1.030735107519203e-6,-2.0293639809088655e-5
0.0967167843311021,-1.8748070212644276e-6,-1.6765317049129547e-5
0.14226225793807126,-3.3472679434988694e-6,4.888853045768392e-5
0.18296738098051318,-8.619856073157328e-6,0.0005839214489098775
0.2,-4.7212480729834236e-6,7.426293997186742e-5
