t,DXL_PWM,DXL_Current,DXL_Velocity,DXL_Position,DXL_Input_Voltage,U,position_reference
0.0,0.00113,0.0,0.0,0.03267256359733395,11.9,0.013446999999999999,0.0
0.08,0.15481,0.07801000000000001,0.0,0.03420845333908873,11.9,1.8422390000000002,0.06690780990080993
0.16,0.33335000000000004,0.11028999999999999,0.3836931827584334,0.07260569688296403,11.9,3.9668650000000008,0.13313998700960467
0.24,0.41471,0.06994,1.055156252585692,0.16168730190475467,11.9,4.935049,0.1980277210513566
0.32,0.5356200000000001,0.08877,1.2470028439649083,0.26459191460234033,11.9,6.373878000000001,0.26091577789146825
0.4,0.5085000000000001,0.1076,1.414868611421723,0.376711865750456,11.9,6.051150000000001,0.3211691160678102
0.48,0.49268,0.09953000000000001,1.4628302592665272,0.4949753758655917,11.9,5.862892,0.3781792994178377
0.56,0.44522,0.11835999999999999,1.2230220200425064,0.5902005398544024,11.9,5.2981180000000005,0.4313706410462962
0.64,0.27911,0.11567,0.9592329568960836,0.662387357716888,11.9,3.3214090000000005,0.48020601659193785
0.72,0.19662,0.11567,0.527578126292846,0.702320491002518,11.9,2.339778,0.5241922880910792
0.8,0.11074,0.14257,0.07194247176720626,0.706928160227783,11.9,1.317806,0.56288528366801
0.88,0.1017,0.13988,0.0,0.706928160227783,11.9,1.21023,0.5958942827675091
0.96,0.09831,0.14526,0.0,0.7053922704860285,11.9,1.169889,0.6228859616377413
1.04,0.12091000000000002,0.12912,0.0,0.7053922704860285,11.9,1.4388290000000004,0.6435877592221826
1.12,0.10509,0.14795,0.0,0.706928160227783,11.9,1.250571,0.657790629471912
1.2,0.15368,0.16678,0.0,0.7053922704860285,11.9,1.8287920000000002,0.6653511522855143
1.28,0.14803,0.17754,0.0,0.706928160227783,11.9,1.761557,0.6661929817603928
1.36,0.13673,0.14795,0.0,0.7053922704860285,11.9,1.627087,0.6603076171311008
1.44,0.09040000000000001,0.08608,0.0,0.7053922704860285,11.9,1.07576,0.6477544886097826
1.52,0.00113,0.040350000000000004,0.0,0.7053922704860285,11.9,0.013446999999999999,0.6286603572619096
1.6,-0.05311,0.040350000000000004,-0.14388494353441253,0.691569262810233,11.9,-0.632009,0.6032180349773463
1.68,-0.03616,0.040350000000000004,-0.4076740066808355,0.6547079090081125,11.9,-0.43030399999999996,0.5716844374624348
1.76,-0.14916000000000001,-0.024210000000000002,-0.6954438937496605,0.5963440988214224,11.9,-1.7750040000000002,0.5343779899139176
1.84,-0.42601,0.08877,-0.839328837284073,0.5287649501842018,11.9,-5.0695190000000006,0.4916754115721159
1.92,-0.15933,-0.0269,-0.839328837284073,0.46118580154698163,11.9,-1.8960270000000001,0.44400791162283443
2.0,-0.0067800000000000004,-0.01345,-0.7434055415944647,0.40128610161853606,11.9,-0.080682,0.3918568348616488
2.08,-0.05989,-0.01076,-0.6235014219824542,0.35213762988237574,11.9,-0.712691,0.33574880109050725
2.16,-0.18419,-0.00269,-0.4796164784480418,0.31527627608025544,11.9,-2.191861,0.27625038732885593
2.24,-0.29719,-0.01345,-0.791367189439269,0.2476971274430353,11.9,-3.5365610000000003,0.2139624065381395
2.32,-0.45426,-0.01614,-1.1750603721977022,0.14786429422895941,11.9,-5.405694,0.14951384063292095
2.4,-0.58534,-0.029589999999999998,-1.630696026723342,0.014241886696273687,11.9,-6.965546,0.08355548904286969
2.48,-0.61246,-0.03497,-1.8225426181025586,-0.1316676387704525,11.9,-7.288274,0.016753396962225206
2.56,-0.56274,-0.04573,-1.8225426181025586,-0.27911305397893327,11.9,-6.696606,-0.05021787035195519
2.64,-0.43618,-0.061869999999999994,-1.582734378878538,-0.40044834357757897,11.9,-5.190542000000001,-0.11668203931685073
2.72,-0.31753,-0.05649,-1.1750603721977022,-0.4910658383411246,11.9,-3.778607,-0.18196795701155014
2.8000000000000003,-0.17062999999999998,-0.059179999999999996,-0.6954438937496605,-0.5417501998190399,11.9,-2.030497,-0.2454163684564522
2.88,-0.05537,-0.08070000000000001,-0.1678657674568146,-0.552501428011325,11.9,-0.658903,-0.3063865737476585
2.96,-0.05763,-0.08608,0.0,-0.552501428011325,11.9,-0.685797,-0.364262897822846
3.04,-0.06554,-0.08608,0.0,-0.552501428011325,12.0,-0.7864800000000001,-0.41846090752713355
3.12,-0.06328,-0.09953000000000001,0.0,-0.552501428011325,12.0,-0.75936,-0.4684333131992327
3.2,-0.08023,-0.09684000000000001,0.0,-0.552501428011325,11.9,-0.954737,-0.5136754951838596
3.2800000000000002,-0.07458000000000001,-0.11028999999999999,0.0,-0.552501428011325,11.9,-0.8875020000000001,-0.553730599463875
3.36,-0.09379,-0.12104999999999999,0.0,-0.552501428011325,11.9,-1.116101,-0.5881941509566355
3.44,-0.09831,-0.12104999999999999,0.0,-0.552501428011325,11.9,-1.169889,-0.6167181378896387
3.52,-0.09831,-0.11567,0.0,-0.552501428011325,11.9,-1.169889,-0.6390145260115839
3.6,-0.09153,-0.11835999999999999,0.0,-0.552501428011325,11.9,-1.089207,-0.6548581671524591
3.68,-0.09040000000000001,-0.1345,0.0,-0.552501428011325,11.9,-1.07576,-0.6640890727621149
3.7600000000000002,-0.10848000000000001,-0.1345,0.0,-0.552501428011325,11.9,-1.290912,-0.6666140294692107
3.84,-0.10282999999999999,-0.11567,0.0,-0.552501428011325,11.9,-1.223677,-0.6624075403466723
3.92,-0.07345,-0.07263,0.0,-0.552501428011325,11.9,-0.874055,-0.6515120823787957
4.0,-0.01695,-0.03497,0.0,-0.552501428011325,11.9,-0.201705,-0.6340376775301024
4.08,-0.01921,-0.03497,0.023980823922402087,-0.55096553826957,11.9,-0.22859900000000002,-0.6101607817472784
4.16,-0.03616,-0.029589999999999998,0.023980823922402087,-0.546357869044305,11.9,-0.43030399999999996,-0.5801225031130172
4.24,-0.03616,-0.03228,0.0,-0.546357869044305,11.9,-0.43030399999999996,-0.5442261671447894
4.32,-0.020340000000000004,-0.0269,0.0,-0.546357869044305,11.9,-0.24204600000000007,-0.5028342538240689
4.4,0.07458000000000001,-0.029589999999999998,0.09592329568960835,-0.5356066408520197,11.9,0.8875020000000001,-0.4563647372857922
4.48,0.00226,0.00807,0.28776988706882506,-0.5094965152421846,11.9,0.026893999999999998,-0.40528686512973666
4.5600000000000005,0.09605000000000001,-0.05649,0.527578126292846,-0.46341982298953455,11.9,1.1429950000000002,-0.3501164199741969
4.64,0.11413000000000001,-0.061869999999999994,0.6235014219824542,-0.411199571769864,11.9,1.3581470000000002,-0.2914105111006222
4.72,0.25651,0.00807,0.6235014219824542,-0.3605152102919489,11.9,3.0524690000000003,-0.2297619487830117
4.8,0.44974000000000003,0.029589999999999998,1.0071946047408877,-0.27450538475366826,11.9,5.3519060000000005,-0.16579325810990356
4.88,0.6282800000000001,0.03228,1.6067152028009397,-0.13934708747922753,11.9,7.476532000000001,-0.10015039274717177
4.96,0.71529,0.03497,2.0383700334041777,0.024993114888558488,11.9,8.511951,-0.03349621211984681
5.04,0.6813899999999999,0.03497,2.230216624783394,0.20469221467389476,11.9,8.108540999999999,0.03349621211984649
5.12,0.60455,0.05111,2.0383700334041777,0.36288885807466076,11.9,7.194145000000001,0.10015039274717147
5.2,0.41358000000000006,0.06456,1.582734378878538,0.4842241476733067,11.9,4.921602000000001,0.16579325810990325
5.28,0.26103000000000004,0.06994,0.9832137808184854,0.5564109655357923,11.9,3.1062570000000007,0.2297619487830114
5.36,0.08927,0.08877,0.3357315349136292,0.5763775321786073,11.9,1.062313,0.29141051110062194
