t,DXL_PWM,DXL_Current,DXL_Velocity,DXL_Position,DXL_Input_Voltage,U,position_reference,velocity_from_meas,velocity_from_ref,acc_from_velocity_from_meas,acc_from_meas,acc_from_ref,current_reference
2.24,0.011300000000000001,0.00269,0.0,0.02569124658935662,11.9,0.13447,0.2139624065381395,2.7755575615628914e-17,-0.792103416849595,-1.7347234759768394e-16,0.0,-0.3367391774571278,0.4674457429048413
2.32,0.01808,0.00269,0.0,0.02569124658935662,11.9,0.21515199999999998,0.14951384063292095,-2.7755575615628914e-17,-0.8150432343454379,-1.7347234759768394e-16,0.0,-0.23530847557657975,0.4841402337228714
2.4,0.022600000000000002,0.00807,0.0,0.02569124658935662,11.9,0.26894,0.08355548904286969,0.0,-0.8297527729418477,0.059995693037296266,0.0,-0.13150163670135573,0.5008347245409015
2.48,0.014690000000000002,0.00807,0.0,0.02569124658935662,11.9,0.17481100000000002,0.016753396962225206,0.009599310885967383,-0.8360834962176549,0.0,0.0,-0.02636689876485132,0.5175292153589315
2.56,0.012430000000000002,0.00269,0.0,0.0272271363311114,11.9,0.14791700000000002,-0.05021787035195519,0.0,-0.8339714767442239,-0.11999138607459219,0.0,0.07903409121992055,0.5342237061769616
2.64,0.0056500000000000005,0.00269,0.0,0.02569124658935662,11.9,0.067235,-0.11668203931685073,-0.009599310885967383,-0.8234380416224676,0.05999569303729609,0.0,0.1836369976357206,0.5509181969949917
2.72,0.00452,0.00269,0.0,0.02569124658935662,11.9,0.053787999999999996,-0.18196795701155014,0.009599310885967383,-0.8045895571225086,0.05999569303729557,0.0,0.28638554388617976,0.5676126878130217
2.8000000000000003,0.00791,0.00269,0.0,0.0272271363311114,11.9,0.094129,-0.2454163684564522,-8.326672684688674e-17,-0.7776163546006787,-0.11999138607459303,0.0,0.3862421786409138,0.5843071786310517
2.88,0.024860000000000004,0.00538,0.0,0.02569124658935662,11.9,0.29583400000000004,-0.3063865737476585,-0.009599310885967466,-0.7427908085399624,-1.4566895509045587e-16,0.0,0.4821985529935011,0.6010016694490817
2.96,0.0067800000000000004,0.00269,0.0,0.02569124658935662,11.9,0.080682,-0.364262897822846,0.0,-0.7004645861217187,0.05999569303729661,0.0,0.5732857027346627,0.6176961602671118
3.04,0.030510000000000002,0.00807,0.0,0.02569124658935662,11.9,0.36306900000000003,-0.41846090752713355,0.0,-0.6510650961024163,0.0,0.0,0.6585838329198852,0.6343906510851419
3.12,0.030510000000000002,0.00807,0.0,0.02569124658935662,11.9,0.36306900000000003,-0.4684333131992327,0.0,-0.5950911728545369,0.05999569303729609,0.0,0.7372316059275126,0.6510851419031719
3.2,0.0067800000000000004,0.00538,0.0,0.02569124658935662,11.9,0.080682,-0.5136754951838596,0.009599310885967383,-0.5331080391540142,0.05999569303729592,0.0,0.808434839216789,0.667779632721202
3.2800000000000002,0.0067800000000000004,0.00538,0.0,0.0272271363311114,11.9,0.080682,-0.553730599463875,0.009599310885967355,-0.46574159857985054,-0.05999569303729676,0.0,0.8714745249561942,0.684474123539232
3.36,0.02825,0.00807,0.0,0.0272271363311114,11.9,0.336175,-0.5881941509566355,-2.7755575615628914e-17,-0.3936721151610234,-0.05999569303729642,0.0,0.9257140905401464,0.7011686143572621
3.44,0.030510000000000002,0.00807,0.0,0.0272271363311114,11.9,0.36306900000000003,-0.6167181378896387,0.0,-0.3176273440934274,1.7347234759768056e-16,0.0,0.9706058266774724,0.7178631051752922
3.52,0.01808,0.00807,0.0,0.0272271363311114,11.9,0.21515199999999998,-0.6390145260115839,0.0,-0.2383751828926277,0.0,0.0,1.0056964181413044,0.7345575959933222
3.6,0.00904,0.00807,0.0,0.0272271363311114,11.9,0.10757599999999999,-0.6548581671524591,0.0,-0.15671591719081857,0.059995693037313266,0.0,1.030631521330815,0.7512520868113522
3.68,0.0067800000000000004,0.00269,0.0,0.0272271363311114,11.9,0.080682,-0.6640890727621149,0.00959931088597013,-0.07347413947969716,-5.204170427930417e-16,0.0,1.0451593424208419,0.7679465776293822
3.7600000000000002,0.029380000000000003,0.00807,0.0,0.028763026072866626,11.9,0.34962200000000004,-0.6666140294692107,-8.326672684688674e-17,0.010509577596516273,-0.05999569303731396,0.0,1.049133179967445,0.7846410684474123
3.84,0.01582,0.01076,0.0,0.0272271363311114,11.9,0.188258,-0.6624075403466723,-1.3877787807814457e-16,0.09438716931509372,0.05999569303731361,0.0,1.0425129062940373,0.8013355592654423
3.92,0.030510000000000002,0.00807,0.0,0.028763026072866626,11.9,0.36306900000000003,-0.6515120823787957,0.00959931088597013,0.17731164260356191,8.673617379884028e-16,0.0,1.0253653726993068,0.8180300500834724
4.0,0.00452,0.01076,0.0,0.028763026072866626,11.9,0.053787999999999996,-0.6340376775301024,0.0,0.258445628946983,-0.059995693037313266,0.0,0.9978637343951287,0.8347245409015025
4.08,0.00452,0.01076,0.0,0.028763026072866626,11.9,0.053787999999999996,-0.6101607817472784,0.0,0.33696984010678266,0.0,0.0,0.9602857019910782,0.8514190317195325
4.16,0.00791,0.01076,0.0,0.028763026072866626,11.9,0.094129,-0.5801225031130172,0.0,0.4120913412655556,0.059995693037304766,0.0,0.9130107371821454,0.8681135225375626
4.24,0.00791,0.01076,0.0,0.028763026072866626,11.9,0.094129,-0.5442261671447894,0.00959931088596877,0.48305155805592603,0.11999138607460953,0.0,0.8565162209573529,0.8848080133555926
4.32,0.00791,0.01076,0.0,0.03029891581462163,11.9,0.094129,-0.5028342538240689,0.01919862177193754,0.5491339366187322,0.059995693037304766,0.0,0.7913726330228124,0.9015025041736228
4.4,0.01808,0.01076,0.0,0.03183480555637663,11.9,0.21515199999999998,-0.4563647372857922,0.01919862177193754,0.6096711793395762,0.05999569303730458,0.1498801495150129,0.7182377911171125,0.9181969949916527
4.48,0.04068000000000001,0.01076,0.023980823922402087,0.033370695298131636,11.9,0.48409200000000013,-0.40528686512973666,0.028797932657906283,0.6640519831974703,0.059995693037313766,0.1498801495150129,0.6378502083899513,0.9348914858096828
4.5600000000000005,0.04181,0.01076,0.023980823922402087,0.03644247478164164,11.9,0.497539,-0.3501164199741969,0.028797932657907754,0.7117272126819685,-0.029997846518643845,2.7755575615628914e-17,0.5510216359215079,0.9515859766277128
4.64,0.027120000000000002,0.01076,0.023980823922402087,0.03797836452339687,11.9,0.322728,-0.2914105111006222,0.02399827721492334,0.752215444944911,-1.8540724511240114e-14,-2.7755575615628914e-17,0.4586288656876434,0.9682804674457428
4.72,0.027120000000000002,0.01076,0.023980823922402087,0.04028219913602937,11.9,0.322728,-0.2297619487830117,0.028797932657904896,0.785107831191991,-0.0599956930373223,-0.1498801495150129,0.3616048767442983,0.9849749582637728
4.8,0.024860000000000004,0.00538,0.0,0.042586033748661656,11.9,0.29583400000000004,-0.16579325810990356,0.014398966328951768,0.8100722252239988,-0.17998707911190545,-0.1498801495150129,0.26092941403664316,1.001669449081803
4.88,0.024860000000000004,0.00538,0.0,0.042586033748661656,11.9,0.29583400000000004,-0.10015039274717177,0.0,0.8268565374378539,-0.08999353955594847,0.0,0.15761909496790416,1.018363939899833
4.96,0.02373,0.01076,0.0,0.042586033748661656,11.9,0.282387,-0.03349621211984681,0.0,0.8352912804188635,0.0,0.0,0.05271714363130986,1.035058430717863
5.04,0.014690000000000002,0.01345,0.0,0.042586033748661656,11.9,0.17481100000000002,0.03349621211984649,0.0,0.8352912804188635,0.0,0.0,-0.05271714363130897,1.0517529215358932
5.12,0.029380000000000003,0.00807,0.0,0.042586033748661656,11.9,0.34962200000000004,0.10015039274717147,0.0,0.8268565374378541,0.0,0.0,-0.15761909496790327,1.0684474123539232
5.2,0.012430000000000002,0.01345,0.0,0.042586033748661656,11.9,0.14791700000000002,0.16579325810990325,0.0,0.810072225223999,0.0,0.0,-0.26092941403664405,1.0851419031719531
5.28,0.011300000000000001,0.00807,0.0,0.042586033748661656,11.9,0.13447,0.2297619487830114,0.0,0.785107831191991,0.0,0.0,-0.3616048767443063,1.1018363939899831
5.36,0.011300000000000001,0.01345,0.0,0.042586033748661656,11.9,0.13447,0.29141051110062194,0.0,0.7522154449449099,0.05999569303729609,0.0,-0.4586288656876434,1.118530884808013
5.44,0.01695,0.01614,0.0,0.042586033748661656,11.9,0.201705,0.3501164199741971,0.009599310885967383,0.711727212681968,0.05999569303729609,0.0,-0.5510216359214803,1.1352253756260433
5.5200000000000005,0.00904,0.01345,0.0,0.04412192349041644,11.9,0.10757599999999999,0.4052868651297369,0.009599310885967383,0.6640519831974729,-0.05999569303729609,0.0,-0.6378502083899487,1.1519198664440733
5.6000000000000005,0.03616,0.00807,0.0,0.04412192349041644,11.9,0.43030399999999996,0.45636473728579285,0.0,0.6096711793395762,-0.059995693037295746,0.0,-0.7182377911171494,1.1686143572621035
5.68,0.013560000000000001,0.01614,0.0,0.04412192349041644,11.9,0.161364,0.5028342538240687,0.0,0.5491339366187296,0.0,0.0,-0.791372633022811,1.1853088480801337
5.76,0.0339,0.01076,0.0,0.04412192349041644,11.9,0.40341,0.5442261671447892,0.0,0.4830515580559269,0.006666188115253193,0.0,-0.8565162209573338,1.2020033388981637
5.84,0.03164,0.01345,0.0,0.04412192349041644,11.9,0.376516,0.580122503113017,0.0010665900984405119,0.412091341265556,0.01333237623051506,0.0,-0.9130107371821508,1.2186978297161937
5.92,0.03164,0.01345,0.0,0.04429257790616692,11.9,0.376516,0.6101607817472783,0.0021331801968824116,0.33696984010678266,0.006666188115261867,0.0,-0.9602857019910809,1.2353923205342237
6.0,0.03164,0.01345,0.0,0.04446323232191762,11.9,0.376516,0.6340376775301023,0.0021331801968824116,0.258445628946983,-8.673617379884035e-15,0.0,-0.997863734395126,1.2520868113522536
6.08,0.03164,0.01345,0.0,0.044633886737668105,11.9,0.376516,0.6515120823787955,0.0021331801968810238,0.17731164260356236,0.0,0.0,-1.0253653726993015,1.2687813021702838
6.16,0.03164,0.01345,0.0,0.04480454115341859,11.9,0.376516,0.6624075403466723,0.0021331801968824116,0.09438716931509461,1.734723475976807e-14,0.0,-1.042512906294037,1.2854757929883138
6.24,0.03164,0.01345,0.0,0.04497519556916929,11.9,0.376516,0.6666140294692107,0.0021331801968837993,0.010509577596516273,0.0,0.0,-1.0491331799674533,1.3021702838063438
6.32,0.03164,0.01345,0.0,0.045145849984919995,11.9,0.376516,0.6640890727621149,0.0021331801968824116,-0.07347413947969805,-1.734723475976807e-14,0.0,-1.045159342420839,1.3188647746243738
6.4,0.03164,0.01345,0.0,0.045316504400670476,11.9,0.376516,0.654858167152459,0.0021331801968810238,-0.15671591719081812,0.0,0.0,-1.0306315213308095,1.335559265442404
6.48,0.03164,0.01345,0.0,0.04548715881642096,11.9,0.376516,0.639014526011584,0.0021331801968824116,-0.2383751828926277,-0.00666618811524452,0.0,-1.0056964181413268,1.352253756260434
6.5600000000000005,0.00904,0.01076,0.0,0.04565781323217166,11.9,0.10757599999999999,0.6167181378896386,0.0010665900984418997,-0.3176273440934305,-0.013332376230514713,0.0,-0.9706058266774751,1.368948247078464
6.640000000000001,0.01921,0.01345,0.0,0.04565781323217166,11.9,0.22859900000000002,0.5881941509566351,5.551115123125783e-17,-0.39367211516102385,-0.0066661881152621765,0.0,-0.92571409054011,1.3856427378964942
6.72,0.013560000000000001,0.01614,0.0,0.04565781323217166,11.9,0.161364,0.553730599463875,-5.551115123125783e-17,-0.4657415985798474,-3.469446951953746e-16,0.0,-0.8714745249561937,1.4023372287145242
6.8,0.0339,0.01345,0.0,0.04565781323217166,11.9,0.40341,0.5136754951838598,0.0,-0.5331080391540142,0.05999569303731344,0.0,-0.8084348392167975,1.419031719532554
6.88,0.01808,0.01614,0.0,0.04565781323217166,11.9,0.21515199999999998,0.4684333131992327,0.009599310885970103,-0.5950911728545352,0.05999569303731309,0.0,-0.7372316059275126,1.4357262103505843
6.96,0.01582,0.01614,0.0,0.04719370297392689,11.9,0.188258,0.41846090752713405,0.009599310885970103,-0.6510650961024163,0.059995693037287766,0.0,-0.6585838329198954,1.4524207011686143
7.04,0.027120000000000002,0.01076,0.0,0.04719370297392689,11.9,0.322728,0.364262897822846,0.019198621771936153,-0.7004645861217185,0.059995693037287766,0.0,-0.573285702734661,1.4691151919866443
7.12,0.020340000000000004,0.01614,0.0,0.05026548245743667,11.9,0.24204600000000007,0.30638657374765904,0.019198621771936153,-0.7427908085399622,-0.11999138607460086,0.0,-0.48219855299348513,1.4858096828046743
