time,acc_sim,pos_sim,vel_sim,input_V,input_tau,tau_grav,tau_f
0.0,-0.002544885260952694,0.0,0.0,0.0,0.0,-4.7243017681320324e-5,-4.7243017681320324e-5
9.999999999999999e-5,-0.006612199755960725,-4.2068690219014417e-11,-1.3476561193194403e-6,-0.00242046,-0.0009549785129962997,-0.0010022214998932568,-0.00012274827269278654
0.000346146547031092,-0.016353527929675607,-7.688814824209434e-10,-4.675665220923165e-6,-0.00837833871226877,-0.00330562514762556,-0.0033528676026668993,-0.0003035853996986907
0.0008669126499904756,-0.014985604003809879,-5.219725819418663e-9,-1.2394302833118334e-5,-0.02098327392795947,-0.008278829533855862,-0.008326068731928428,-0.0002781913848061753
0.0018999815082440296,-0.019881350050343926,-2.603775964704646e-8,-2.801774609711028e-5,-0.045988292414443445,-0.018144415154633504,-0.018191639118813135,-0.0003690755675190248
0.003688528851185793,-0.05044984635805271,-1.027161029844557e-7,-5.845443539755406e-5,-0.08927936543141167,-0.03522465797449359,-0.03527182582820272,-0.0009365463426123724
0.006479732590058178,-0.2878146150069096,-3.605608227199379e-7,-0.0001316513358031533,-0.15683933544932221,-0.06188005393467422,-0.06192703310683509,-0.00534296424060534
0.009931096005300852,-1.550009274884982,-1.5233973126786298e-6,-0.0006344710149232188,-0.2403782063699051,-0.09483983295565704,-0.09488596120564452,-0.02877423069053757
0.012417647030223581,-2.4064446807766395,-9.016641149531917e-6,-0.0055724565803277485,-0.30056417930774976,-0.11858586095835835,-0.11862650592037872,-0.044673019388108026
0.015117530772682809,-3.1509393184474725,-3.39873359990842e-5,-0.013094219921888433,-0.3659137853404784,-0.14436917057472434,-0.14439154287490552,-0.058493749882639
0.01794333123482106,-3.765206807452413,-8.461461288421888e-5,-0.022883807222476234,-0.4343111552063499,-0.17135495780829477,-0.17134028287704306,-0.06989695547677133
0.02091310782542702,-4.424426333153072,-0.0001701242908233246,-0.03482809461851974,-0.5135605462284412,-0.2026223473103477,-0.20254509945366064,-0.08213464657679723
0.02388288441603298,-5.228240874602339,-0.0002945796241427818,-0.04918689628839924,-0.6094035521817492,-0.24043665174272238,-0.240268331923392,-0.09705658635021319
0.02685266100663894,-5.849703697895078,-0.0004648789644568645,-0.06565633073306175,-0.7052465581350572,-0.27825095617509704,-0.27795801739260206,-0.10859336547325743
0.029877539384775595,-6.337451362735551,-0.0006911966166048019,-0.08410496178848054,-0.8028678530569858,-0.316766874249065,-0.31630832432115347,-0.11764786860062243
0.03293063260493894,-6.714775759577067,-0.0009782653548081096,-0.1040427258238631,-0.9013997199326735,-0.35564205322814074,-0.3549734367225603,-0.12465248426054579
0.03602537952103021,-7.006422939846626,-0.0013330037801887356,-0.1252849031618773,-1.0012758682063037,-0.3950476106685237,-0.39411940942005336,-0.13006659589284147
0.03915541690394629,-7.22993686890897,-0.001759940228863553,-0.14757328841621228,-1.1022909386576778,-0.43490252327599077,-0.433661905541611,-0.1342158880690871
0.042324022842515734,-7.09461751033155,-0.002263914415351868,-0.1704480167790801,-1.1889251568102872,-0.4690835536693771,-0.467474146344202,-0.13170383184871948
0.045647335808415276,-6.88846590104739,-0.002869057849493801,-0.19367536530445187,-1.2738334767699444,-0.5025836408991133,-0.5005314126337704,-0.12787685219196343
0.04915511105664197,-6.723219457150866,-0.0035903719655551187,-0.21754194176701716,-1.3634546789194626,-0.537943168576368,-0.5353631110813097,-0.12480923229154556
0.052693367034065915,-6.597168607829056,-0.004401838373107665,-0.24110225483278494,-1.4538546423634604,-0.5736099520244187,-0.5704360970255249,-0.12246923583094815
0.056324982562706565,-6.499112170290664,-0.005320656306195506,-0.26487847702347006,-1.5466398769893588,-0.6102178304405269,-0.6063716250819495,-0.12064892507530361
0.06000996313116976,-6.421600188442285,-0.006340634775882674,-0.288685035230292,-1.6407014677810496,-0.6473292878099176,-0.6427367111087797,-0.11920999971974305
0.06376137154117524,-5.7648458981012745,-0.007466810474647595,-0.3115107236767158,-1.7037579538927292,-0.6722078602059512,-0.6667912077028127,-0.10701807302390132
0.06824068980413021,-5.2088258744186815,-0.008917587519094475,-0.3360491761750095,-1.7790496947451737,-0.7019137816920201,-0.695435537566729,-0.09669616805904985
0.07272000806708519,-4.827235263699175,-0.010473459308008186,-0.3585000663709777,-1.8543414355976182,-0.7316197031780889,-0.7240029806127641,-0.08961235479412538
0.07737661304155484,-4.55589044873094,-0.012193915886800272,-0.3803267154672326,-1.932613144462235,-0.7625013538317709,-0.7536257427383803,-0.0845751344180366
0.08210372458813166,-4.128132256368729,-0.01404175908792944,-0.4014062306239381,-2.0007544668561152,-0.7893861190141367,-0.7791584377103733,-0.07663427038178044
0.08733486293673232,-3.591283951256535,-0.016194854480033223,-0.42154587353599837,-2.0605461166237036,-0.8129765690875307,-0.8011735083668322,-0.06666826745043114
0.09294448529708259,-3.2263316331758993,-0.018613564361598195,-0.4406284904880677,-2.124663819721389,-0.8382738385160549,-0.8247011188669369,-0.05989332593127289
0.0986403069594465,-2.9955324154689875,-0.021174004950193167,-0.45832235573731805,-2.1897667765311257,-0.8639598341060769,-0.8485138444182915,-0.055608790321647505
0.10451991311908897,-2.5195874562367253,-0.023918224689909034,-0.47478904415210466,-2.2387365994418142,-0.88328059489739,-0.865826991383812,-0.04677339154381516
0.11095716203762117,-2.1328698194947275,-0.027023236613555268,-0.48970838857918997,-2.2863455268559405,-0.9020644222307443,-0.8823394161621726,-0.03959440063581593
0.11809681531329691,-1.890361386492488,-0.03057121020542353,-0.5040286759640583,-2.339149331534847,-0.9228978583845371,-0.9005776450595423,-0.035092496222292324
0.1252765037772685,-1.0652780870047023,-0.0342337840281014,-0.5154845281872182,-2.353225,-0.9284513320797358,-0.9034523809014565,-0.019775725166110647
0.13527650377726852,-0.29943250900577956,-0.039424503757804624,-0.5220471834872586,-2.353225,-0.9284513320797358,-0.899656568742623,-0.0055586377642921625
0.14527650377726853,0.30848212467115527,-0.044652374623359053,-0.5232211667072939,-2.3390343707414143,-0.9228525012674745,-0.8902355427271544,0.005726634003434372
0.15527650377726854,0.6604024246009079,-0.049861163838430395,-0.5182555613213096,-2.3121403707414143,-0.912241628900849,-0.8758173125517204,0.012259650327232363
0.16527650377726855,1.0220369751298493,-0.05500715400168108,-0.5107886964273587,-2.2746033987974745,-0.8974316334250273,-0.8572468321894957,0.018973001112414456
0.17527650377726856,1.244874092664438,-0.06005886675639936,-0.4993760768241434,-2.2275388987974747,-0.8788626067834326,-0.8349872493247108,0.0231097290212397
0.18527650377726856,1.3335240382120093,-0.06498835795640338,-0.4864516680914571,-2.1804743987974744,-0.8602935801418378,-0.8128180347303073,0.024755418518213
0.19527650377726857,1.3665039971412312,-0.06978543650150348,-0.47293805294530206,-2.133409898797474,-0.841724553500243,-0.7907466327765029,0.02536765546528824
0.20527650377726858,1.0856238764128776,-0.07444662411517122,-0.45934427155447605,-2.1005360280560605,-0.8287543576709098,-0.7743743993992432,0.020153422543473354
