time,acc_sim,pos_sim,vel_sim,input
0.0,-0.002544885260952694,0.0,0.0,0.0
9.999999999999999e-5,-0.0026218289818444145,-3.868318825233447e-11,-1.4611829261485865e-6,-0.00242046
0.00017681813709474658,-0.011781972268834763,-1.7526304060921746e-10,-2.324995479447452e-6,-0.004279812281123504
0.00028650708853534775,-0.009412528769435075,-5.075213673231411e-10,-3.999143733344024e-6,-0.00693478947516268
0.00041328351737325575,0.00991537876485682,-1.0975900603168906e-9,-6.410616742191417e-6,-0.010003362224612709
0.0005388365234077698,0.06433983301340382,-1.8670661431075534e-9,-9.818481192872759e-6,-0.013042322514475709
0.0006549069669545387,-0.1500254422790602,-2.838150028429993e-9,-5.393226536769686e-6,-0.01585176117234783
0.000814691752465088,-3.1324842327080114,-8.836177836647932e-10,0.00010214990051936923,-0.019719287991716475
0.0009226278599420247,-3.3496149346421333,3.0439857285189254e-9,0.00011454886135577834,-0.022331838298752738
0.0010189433299104718,-0.6335370388331579,6.1550727500940186e-9,3.0393684022657515e-6,-0.02466311572315101
0.0011308052741194417,-3.1847287458861233,6.722365320031988e-9,9.486741264958362e-5,-0.027370689337951448
0.0012208982891271916,-2.487520106932961,9.537420211869125e-9,5.874321357015375e-5,-0.02955135472900803
0.001312156666705601,-3.10047868427022,1.1096521100190278e-8,8.456860394833387e-5,-0.031760227254942396
0.0013920247005701808,-1.858813140292689,1.3182836431763878e-8,3.3643128186475116e-5,-0.033693401067421004
0.0014822700977099993,-2.9937931137009737,1.3793507275937138e-8,7.475336377582722e-5,-0.03587775480703146
0.0015568353835041398,-1.754051225709017,1.5409217292180977e-8,2.7727926250689176e-5,-0.037682577723564314
0.0016424619012333245,-2.7984669315005903,1.5717435794400643e-8,6.252613964361582e-5,-0.03975513333459214
0.0017139190453079717,-1.851594870886297,1.6880923122092e-8,2.8242123534311302e-5,-0.04148472492406134
0.0017921354324864631,-2.4133722347007,1.707266943830304e-8,4.518799816896906e-5,-0.043377921289161854
0.0018618376381869103,-1.880930754208334,1.7656860600339137e-8,2.6809037153652334e-5,-0.0450650352972589
0.0019345542175063888,-1.9607466364038773,1.7674217374445512e-8,2.810835959694875e-5,-0.04682511101305515
0.0020043847717194393,-1.7327066042540364,1.7668877108691266e-8,2.0151980073904975e-5,-0.04851533164556036
0.0020755176783312434,-1.666460605479758,1.7372734265293056e-8,1.7124030427349375e-5,-0.05023707519693643
0.0021465853012623817,-1.5838140903205709,1.693076825270398e-8,1.3652226203866096e-5,-0.05195723858293546
0.002218349552171621,-1.546990348282302,1.6325927739480277e-8,1.1521286954527255e-5,-0.05369426357049323
0.0022904797178104177,-1.5247636871505572,1.5599952479817455e-8,9.814330306147676e-6,-0.055440145377714044
0.002362926719670341,-1.512344742432982,1.476540616043775e-8,8.389250222003521e-6,-0.05719369607893275
0.0024355867447593505,-1.500121880688741,1.3830868574518443e-8,6.970025930126981e-6,-0.05895240292220219
0.0025084466752401543,-1.4844668511990187,1.2795369326080841e-8,5.45273700454439e-6,-0.06071594839551785
0.002581538578144873,-1.4645576241603468,1.1653971294442465e-8,3.8133564886520573e-6,-0.06248510866856541
0.002654923639399573,-1.4414706064038538,1.0400321172727346e-8,2.081294028124467e-6,-0.06426136472221092
0.0027286700967690744,-1.4167802333843755,9.028553053393113e-9,2.9958098981573437e-7,-0.06604636822425675
0.002802840861468514,-1.391787068873972,7.533909831070068e-9,-1.4967669825674266e-6,-0.06784164191550081
0.0028774884593505243,-1.367182984292761,5.912616759656859e-9,-3.2899846883592718e-6,-0.06964845716319572
0.0029526562276414076,-1.3430584586151604,4.161349847703853e-9,-5.0792699999293314e-6,-0.07146786292756924
0.0030283830965978655,-1.3190906165136813,2.2766062587094667e-9,-6.875544889647402e-6,-0.07330080149991271
0.0031047095343477342,-1.2947952555103925,2.5416813486082136e-10,-8.694476025840421e-6,-0.0751482523950732
0.003181682425335207,-1.2697385830049916,-1.911228718243158e-9,-1.0550610620346452e-5,-0.07701135043226857
0.0032593578103059465,-1.2436578174676378,-4.226012719296051e-9,-1.2454019498697183e-5,-0.07889145205533134
0.0033378014984841407,-1.2164873743083497,-6.697741294615983e-9,-1.4409543177299738e-5,-0.08079015015020925
0.0034170881336842295,-1.1883108492165888,-9.334996785233386e-9,-1.6418107505850655e-5,-0.08270925144057333
0.00349729967827153,-1.159276414686494,-1.2147302082358206e-8,-1.8479096960611283e-5,-0.0846507397926911
0.003578524231308942,-1.1295104286728324,-1.5145122945226886e-8,-2.0592846440909773e-5,-0.08661674760914044
0.003660855950771275,-1.0990582735540182,-1.8339999920318394e-8,-2.2762447944282886e-5,-0.08860955394603842
0.0037443963769101334,-1.067861724480034,-2.174481722293515e-8,-2.499459959414282e-5,-0.09063161654455905
0.0038292571653571576,-1.0357719652902182,-2.5374198617399096e-8,-2.7299490682133774e-5,-0.09268563798460389
0.003915563998333792,-1.0025893368351741,-2.9245009753984887e-8,-2.9689934861419587e-5,-0.09477466035407013
0.004003461179741043,-0.9681103018181078,-3.3376939269174423e-8,-3.2180286549473535e-5,-0.09690217647116008
0.0040931165705452915,-0.9321657958627467,-3.7793152735050144e-8,-3.4785599857667864e-5,-0.09907224934342058
0.004184726803529034,-0.8946420501798545,-4.252104404089602e-8,-3.752132174031632e-5,-0.10128963838869888
0.0042785229029456045,-0.8554764973981986,-4.759313610581144e-8,-4.0403817293581966e-5,-0.1035599354566372
0.00437477699603838,-0.8146331065867358,-5.304824011187532e-8,-4.345171619930401e-5,-0.1058897272783106
