t,DXL_PWM,DXL_Current,DXL_Velocity,DXL_Position,DXL_Input_Voltage,U
0.0,0.00113,0.0,0.0,-0.04803146101488398,11.9,0.013446999999999999
0.02,0.00113,0.0,0.0,-0.04803146101488398,11.9,0.013446999999999999
0.04,0.01808,0.0,0.0,-0.04803146101488398,11.9,0.21515199999999998
0.06,0.01808,0.0,0.0,-0.04649557127312898,11.9,0.21515199999999998
0.08,0.01808,0.0,0.0,-0.04649557127312898,11.9,0.21515199999999998
0.1,0.03164,0.00269,0.0,-0.044959681531373974,11.9,0.376516
0.12,0.054240000000000003,0.00269,0.023980823922402087,-0.04342379178961897,11.9,0.645456
0.14,0.0791,0.00538,0.07194247176720626,-0.040352012306108964,11.9,0.9412900000000001
0.16,0.09605000000000001,0.01076,0.09592329568960835,-0.03728023282259896,11.9,1.1429950000000002
0.18,0.12769,0.00538,0.14388494353441253,-0.032672563597333726,11.9,1.519511
0.2,0.12769,0.00807,0.1918465913792167,-0.02499311488855871,11.9,1.519511
0.22,0.13221,0.01345,0.21582741530161878,-0.018849555921538697,11.9,1.573299
0.24,0.13899,0.01076,0.28776988706882506,-0.01117010721276368,11.9,1.6539810000000001
0.26,0.16724,0.00538,0.3357315349136292,-0.0019547687622336607,11.9,1.990156
0.28,0.16046,0.01076,0.3836931827584334,0.008796459430051584,11.9,1.909474
0.3,0.19097,0.01614,0.43165483060323756,0.019547687622336385,11.9,2.272543
0.32,0.18645,0.01345,0.4796164784480418,0.028763026072866626,11.9,2.2187550000000003
0.34,0.20114,0.01076,0.527578126292846,0.04105014400690643,11.9,2.3935660000000003
0.36,0.2147,0.01614,0.551558950215248,0.05333726194094668,11.9,2.55493
0.38,0.20679000000000003,0.01614,0.5755397741376501,0.06716026961674193,11.9,2.4608010000000005
0.4,0.21583000000000002,0.01614,0.5995205980600522,0.07944738755078173,11.9,2.5683770000000004
0.42,0.23391,0.01345,0.6235014219824542,0.09327039522657699,11.9,2.783529
0.44,0.21583000000000002,0.02152,0.6474822459048563,0.10709340290237201,11.9,2.5683770000000004
0.46,0.22148,0.01614,0.6474822459048563,0.12091641057816704,11.9,2.635612
0.48,0.22374000000000002,0.01614,0.6474822459048563,0.13320352851220707,11.9,2.6625060000000005
0.5,0.20679000000000003,0.01614,0.6714630698272585,0.1470265361880021,11.9,2.4608010000000005
0.52,0.19210000000000002,0.01614,0.6474822459048563,0.15931365412204235,11.9,2.2859900000000004
0.54,0.18645,0.02152,0.6235014219824542,0.17160077205608237,11.9,2.2187550000000003
0.56,0.17515,0.02152,0.5995205980600522,0.18081611050661262,11.9,2.084285
0.58,0.16611,0.024210000000000002,0.551558950215248,0.19003144895714263,11.9,1.976709
0.6,0.15481,0.01614,0.5035973023704439,0.20078267714942766,11.9,1.8422390000000002
0.62,0.15142,0.01614,0.4796164784480418,0.20846212585820245,11.9,1.801898
0.64,0.12204000000000001,0.01614,0.43165483060323756,0.2161415745669779,11.9,1.4522760000000001
0.66,0.09944000000000001,0.02152,0.4076740066808355,0.2222851335339977,11.9,1.1833360000000002
0.68,0.07797000000000001,0.0269,0.3357315349136292,0.22689280275926316,11.9,0.9278430000000002
0.7000000000000001,0.06667,0.02152,0.28776988706882506,0.22996458224277272,11.9,0.793373
0.72,0.06328,0.024210000000000002,0.21582741530161878,0.23303636172628273,11.9,0.753032
0.74,0.03503,0.024210000000000002,0.14388494353441253,0.23303636172628273,11.9,0.416857
0.76,0.03955,0.02152,0.09592329568960835,0.23457225146803795,11.9,0.47064500000000004
0.78,0.03842,0.02152,0.047961647844804174,0.23457225146803795,11.9,0.45719800000000005
0.8,0.03842,0.01614,0.0,0.23457225146803795,11.9,0.45719800000000005
0.8200000000000001,0.04068000000000001,0.01614,0.0,0.23303636172628273,11.9,0.48409200000000013
0.84,0.03277,0.02152,0.0,0.23457225146803795,11.9,0.389963
0.86,0.03277,0.02152,0.0,0.23380430659716023,11.9,0.389963
0.88,0.037290000000000004,0.024210000000000002,0.0,0.23303636172628273,11.9,0.44375100000000006
0.9,0.04181,0.024210000000000002,0.0,0.23303636172628273,11.9,0.497539
0.92,0.04181,0.024210000000000002,0.0,0.23303636172628273,11.9,0.497539
0.9400000000000001,0.01808,0.02152,0.0,0.23303636172628273,11.9,0.21515199999999998
0.96,0.021470000000000003,0.01614,0.0,0.23303636172628273,11.9,0.255493
0.98,0.04068000000000001,0.01614,0.0,0.23303636172628273,11.9,0.48409200000000013
1.0,0.02825,0.01614,0.0,0.23303636172628273,11.9,0.336175
1.02,0.037290000000000004,0.024210000000000002,0.0,0.23303636172628273,11.9,0.44375100000000006
1.04,0.02373,0.02152,0.0,0.23303636172628273,11.9,0.282387
1.06,0.01808,0.02152,0.0,0.23303636172628273,11.9,0.21515199999999998
1.08,0.027120000000000002,0.02152,0.0,0.23457225146803795,11.9,0.322728
1.1,0.029380000000000003,0.02152,0.0,0.23303636172628273,11.9,0.34962200000000004
1.12,0.020340000000000004,0.024210000000000002,0.0,0.23303636172628273,11.9,0.24204600000000007
1.1400000000000001,0.02373,0.024210000000000002,0.0,0.23303636172628273,11.9,0.282387
1.16,0.025990000000000003,0.01614,0.0,0.23457225146803795,11.9,0.30928100000000003
