time,position,U
0.0,0.017313666179783693,0.0
0.02,0.017313666179783693,0.0
0.04,0.017313666179783693,0.0
0.06,0.017313666179783693,0.013446999999999999
0.08,0.017313666179783693,0.013446999999999999
0.1,0.017313666179783693,0.013446999999999999
0.12,0.017313666179783693,0.013446999999999999
0.14,0.017313666179783693,0.013446999999999999
0.16,0.017313666179783693,0.013446999999999999
0.18,0.017313666179783693,0.013446999999999999
0.2,0.017313666179783693,0.026893999999999998
0.22,0.01884955592153892,0.026893999999999998
0.24,0.017313666179783693,0.026893999999999998
0.26,0.017313666179783693,0.026893999999999998
0.28,0.017313666179783693,0.026893999999999998
0.3,0.017313666179783693,0.040341
0.32,0.017313666179783693,0.040341
0.34,0.017313666179783693,0.040341
0.36,0.01884955592153892,0.040341
0.38,0.01884955592153892,0.040341
0.4,0.01884955592153892,0.040341
0.42,0.017313666179783693,0.053787999999999996
0.44,0.017313666179783693,0.053787999999999996
0.46,0.017313666179783693,0.053787999999999996
0.48,0.017313666179783693,0.053787999999999996
0.5,0.017313666179783693,0.053787999999999996
0.52,0.017313666179783693,0.067235
0.54,0.017313666179783693,0.067235
0.56,0.01884955592153892,0.067235
0.58,0.017313666179783693,0.067235
0.6,0.017313666179783693,0.067235
0.62,0.017313666179783693,0.080682
0.64,0.017313666179783693,0.080682
0.66,0.017313666179783693,0.080682
0.68,0.017313666179783693,0.080682
0.7000000000000001,0.017313666179783693,0.080682
0.72,0.017313666179783693,0.080682
0.74,0.017313666179783693,0.094129
0.76,0.017313666179783693,0.094129
0.78,0.01884955592153892,0.094129
0.8,0.01884955592153892,0.094129
0.8200000000000001,0.017313666179783693,0.094129
0.84,0.017313666179783693,0.10757599999999999
0.86,0.017313666179783693,0.10757599999999999
0.88,0.017313666179783693,0.10757599999999999
0.9,0.01884955592153892,0.10757599999999999
0.92,0.017313666179783693,0.10757599999999999
0.9400000000000001,0.017313666179783693,0.10757599999999999
0.96,0.01884955592153892,0.12102300000000003
0.98,0.017313666179783693,0.12102300000000003
1.0,0.01884955592153892,0.12102300000000003
1.02,0.017313666179783693,0.12102300000000003
1.04,0.01884955592153892,0.12102300000000003
1.06,0.01884955592153892,0.13447
1.08,0.01884955592153892,0.13447
1.1,0.01884955592153892,0.13447
1.12,0.01884955592153892,0.13447
1.1400000000000001,0.01884955592153892,0.13447
1.16,0.01884955592153892,0.14791700000000002
1.18,0.01884955592153892,0.14791700000000002
1.2,0.0203854456632937,0.14791700000000002
1.22,0.0203854456632937,0.14791700000000002
1.24,0.01884955592153892,0.14791700000000002
1.26,0.0203854456632937,0.14791700000000002
1.28,0.0203854456632937,0.161364
1.3,0.0203854456632937,0.161364
1.32,0.0203854456632937,0.161364
1.34,0.0203854456632937,0.161364
1.36,0.021921335405048703,0.161364
1.3800000000000001,0.021921335405048703,0.17481100000000002
1.4000000000000001,0.021921335405048703,0.17481100000000002
1.42,0.023457225146803706,0.17481100000000002
1.44,0.023457225146803706,0.17481100000000002
1.46,0.023457225146803706,0.17481100000000002
1.48,0.024993114888558488,0.17481100000000002
1.5,0.023457225146803706,0.188258
1.52,0.024993114888558488,0.188258
1.54,0.024993114888558488,0.188258
1.56,0.024993114888558488,0.188258
1.58,0.026529004630313713,0.188258
1.6,0.026529004630313713,0.201705
1.62,0.026529004630313713,0.201705
1.6400000000000001,0.026529004630313713,0.201705
1.6600000000000001,0.028064894372068716,0.201705
1.68,0.028064894372068716,0.201705
1.7,0.028064894372068716,0.201705
1.72,0.028064894372068716,0.21515199999999998
1.74,0.02960078411382394,0.21515199999999998
1.76,0.02960078411382394,0.21515199999999998
1.78,0.02960078411382394,0.21515199999999998
1.8,0.031136673855578723,0.21515199999999998
1.82,0.02960078411382394,0.22859900000000002
1.84,0.031136673855578723,0.22859900000000002
1.86,0.031136673855578723,0.22859900000000002
1.8800000000000001,0.031136673855578723,0.22859900000000002
1.9000000000000001,0.03267256359733395,0.22859900000000002
1.92,0.03420845333908873,0.24204600000000007
1.94,0.03420845333908873,0.24204600000000007
1.96,0.03420845333908873,0.24204600000000007
1.98,0.03574434308084351,0.24204600000000007
2.0,0.03574434308084351,0.24204600000000007
2.02,0.03574434308084351,0.24204600000000007
2.04,0.037280232822598736,0.255493
2.06,0.037280232822598736,0.255493
2.08,0.03881612256435352,0.255493
2.1,0.03881612256435352,0.255493
2.12,0.03881612256435352,0.255493
2.14,0.04035201230610874,0.26894
2.16,0.04035201230610874,0.26894
2.18,0.04035201230610874,0.26894
2.2,0.04188790204786397,0.26894
2.22,0.04188790204786397,0.26894
2.24,0.04342379178961897,0.26894
2.2600000000000002,0.04342379178961897,0.282387
2.2800000000000002,0.04342379178961897,0.282387
2.3000000000000003,0.04495968153137375,0.282387
2.32,0.04495968153137375,0.282387
2.34,0.04495968153137375,0.282387
2.36,0.04649557127312898,0.29583400000000004
2.38,0.04649557127312898,0.29583400000000004
2.4,0.04803146101488376,0.29583400000000004
2.42,0.04803146101488376,0.29583400000000004
2.44,0.04956735075663876,0.29583400000000004
2.46,0.051103240498393765,0.29583400000000004
2.48,0.051103240498393765,0.30928100000000003
2.5,0.051103240498393765,0.30928100000000003
2.52,0.05263913024014899,0.30928100000000003
2.54,0.05263913024014899,0.30928100000000003
2.56,0.05263913024014899,0.30928100000000003
2.58,0.054175019981904216,0.322728
2.6,0.054175019981904216,0.322728
2.62,0.055710909723659,0.322728
2.64,0.055710909723659,0.322728
2.66,0.05724679946541422,0.322728
2.68,0.05724679946541422,0.322728
2.7,0.058782689207169,0.336175
2.72,0.058782689207169,0.336175
