time,acc_sim,pos_sim,vel_sim,input
0.0,-0.002544885260952694,0.0,0.0,0.0
9.999999999999999e-5,-0.002581665975155564,-7.270465633841546e-12,1.0462204479863447e-9,0.0
0.0001954081936140968,-0.0019526322359976383,-1.36690598556611e-11,-1.6846378668500807e-8,0.0
0.0003206357983972228,-0.00849895975330409,-2.8043973448240734e-11,1.6936139435673815e-7,0.0
0.0004542588148900789,-0.052355574169648235,-7.553907607520404e-11,1.4169392436671406e-6,0.0
0.0005772724045400335,0.06196195720607032,-1.1422849866042151e-10,-1.8350759475339998e-6,0.0
0.0007137217469327099,-0.4415480834146608,-2.4421814229572734e-10,1.2552623337220029e-5,0.0
0.0008330894317195408,-2.9849510569296704,2.5566547386530806e-9,0.0001246720441610702,0.0
0.0009327356422535229,-0.1274401973581069,6.522998967861758e-9,3.5540805469735953e-6,0.0
0.0010894200268182898,-2.567396488973054,9.973900260652666e-9,9.267614286792564e-5,0.0
0.0011944554041481514,-3.089324123411066,1.4858645809417308e-8,0.00013619353592304534,0.0
0.001284141265314261,-0.355029927658497,1.9250366627454506e-8,1.0059988310563887e-5,0.0
0.00140773502876913,-2.8905616088675563,2.2045771167147047e-8,0.00011588397236906756,0.0
0.001486986587390026,-0.3188833041084082,2.5543459063856987e-8,9.02243095753247e-6,0.0
0.0016087402412545129,-2.545112090348512,2.7989853568744737e-8,9.133968032744034e-5,0.0
0.0016984065398124803,-1.7348599216605782,3.17446809623103e-8,5.3953437141694645e-5,0.0
0.0018053488018487556,-3.1437890212209947,3.51355876708424e-8,0.00014326025053239846,0.0
0.0018849626893377596,-0.5097975388602402,3.96963845727444e-8,1.4529692296251016e-5,0.0
0.0020076083726187238,-3.181689568827254,4.28210664728321e-8,0.00014875425492940752,0.0
0.002089581090688221,-0.5515802650280651,4.7606982256058336e-8,1.574556401071869e-5,0.0
0.002197030760867667,-2.6613562903394965,4.9901475943026146e-8,9.861752121558017e-5,0.0
0.002282762132784433,-0.3166304716040714,5.326941415532798e-8,8.957800683069531e-6,0.0
0.002371836178593975,0.17645706687855248,5.368460904881509e-8,-5.096093385418135e-6,0.0
0.002462061159653831,-0.09580857580141318,5.3534734567768e-8,2.6534083409579215e-6,0.0
0.002579920126341866,0.30488606544431596,5.3665102985574355e-8,-8.76714611656948e-6,0.0
0.002684071282455739,0.40386366157254394,5.2656976567946065e-8,-1.1611967892138414e-5,0.0
0.002781906913777239,0.632874613384351,5.1562634982411694e-8,-1.827456685661694e-5,0.0
0.0028819888934047033,2.339434243959317,4.954439278492792e-8,-8.032191497089434e-5,0.0
0.0029732135360322877,2.594491274099661,4.575856797937276e-8,-9.46533985287726e-5,0.0
0.0030578060253185413,0.5073016369050606,4.244643645060168e-8,-1.460514079383321e-5,0.0
0.0031462502085199333,0.3366486430325894,4.1529208579874925e-8,-9.678299707558285e-6,0.0
0.0032341178408757643,-0.16594544816566464,4.1082003572403354e-8,4.651158719286112e-6,0.0
0.0033219463469394664,0.054460738138956445,4.119664670838118e-8,-1.6216895164374745e-6,0.0
0.0035344192581074673,3.2280197501649153,3.407381933750356e-8,-0.0001571906684934119,0.0
0.0036383392956563084,0.09143148224136734,2.937385840351342e-8,-2.6737875218139483e-6,0.0
