time,acc_sim,pos_sim,vel_sim,input_V,input_tau,tau_grav
0.0,-0.002544885260952694,0.0,0.0,0.0,0.0,-4.7243017681320324e-5
9.999999999999999e-5,-0.002544884759373113,-1.272442588678065e-11,-2.5448850937598627e-7,0.0,0.0,-4.724300837004277e-5
0.0010999999999999998,-0.0025448245700469474,-1.5396494631956777e-9,-2.799351533680468e-6,0.0,0.0,-4.724189102088605e-5
0.011099999999999997,-0.002538707797934354,-1.5671421416603502e-7,-2.8225366082781332e-5,0.0,0.0,-4.7128339821740964e-5
0.021099999999999997,-0.002522587068820905,-5.656761759265069e-7,-5.354015658743541e-5,0.0,0.0,-4.682907607801627e-5
0.031099999999999996,-0.0024965259075752956,-1.2268139913101512e-6,-7.864396833151859e-5,0.0,0.0,-4.63452790595758e-5
0.0411,-0.002460627010038743,-2.1375224001583827e-6,-0.00010343787797557642,0.0,0.0,-4.567885520264154e-5
0.0511,-0.002415031838345654,-3.2942126917996462e-6,-0.00012782418337120447,0.0,0.0,-4.4832430597363626e-5
0.0611,-0.002359920063481448,-4.6923268466165885e-6,-0.00015170678856324995,0.0,0.0,-4.3809340639514636e-5
0.0711,-0.0022955088572772556,-6.3263554972434025e-6,-0.0001749915824626881,0.0,0.0,-4.26136168871437e-5
0.08109999999999999,-0.002222052036628123,-8.189859638615985e-6,-0.0001975868096980087,0.0,0.0,-4.124997117392146e-5
0.09109999999999999,-0.0021398390633105696,-1.0275496001325006e-5,-0.00021940343218371426,0.0,0.0,-3.9723777041844543e-5
0.10109999999999998,0.38411369699040493,-9.786793781901731e-6,0.0013573677918472247,0.00269,0.007170733000000001,0.007130651608144286
0.1088986029600356,0.3832362550139954,1.2472769636494806e-5,0.004350094509164436,0.00269,0.007170733000000001,0.007114362855389152
0.1188986029600356,0.3807675480142557,7.510066038098839e-5,0.008171368852487189,0.00269,0.007170733000000001,0.007068534003995262
0.1288986029600356,0.3767983997111822,0.00017579279978526815,0.01196044334123562,0.00269,0.007170733000000001,0.0069948510972100315
0.13889860296003562,0.37134445094726465,0.0003141524033848306,0.015702386861459944,0.00269,0.007170733000000001,0.006893604490205709
0.14889860296003563,0.7500856973174285,0.0005052181601159857,0.02287077597193142,0.00538,0.014341466000000002,0.013924522415445544
0.15798136618552308,0.7406824335396275,0.0007437668069290676,0.029642758201311164,0.00538,0.014341466000000002,0.013749961085026087
0.1679813661855231,1.4988885665095864,0.0011075406443851457,0.04388580698996675,0.01076,0.028682932000000005,0.027825230526673083
0.17586137150026887,1.4834283415537477,0.0014997468422661728,0.05563854086810763,0.01076,0.028682932000000005,0.027538228321837936
0.18586137150026888,0.6862622698292146,0.0021243373423462403,0.06715801026166296,0.00538,0.014341466000000002,0.012739710133504237
0.19300210734794424,0.6666755808396527,0.0026212276849643403,0.07198930540357726,0.00538,0.014341466000000002,0.012376104627020228
0.20300210734794424,1.0231664969878718,0.003376758963615757,0.08010756660440364,0.00807,0.021512199000000003,0.01899396945308142
0.21088382459674654,0.9970360057273924,0.004039660320025695,0.08807052400939738,0.00807,0.021512199000000003,0.01850888539857349
0.22088382459674655,1.73312425896947,0.004964545537296779,0.09040297434469094,0.01345,0.035853665,0.03217356053992324
0.22541342007472698,1.716284370624098,0.0053917575083418,0.09821571374920514,0.01345,0.035853665,0.03186094638986367
0.235413420074727,1.6742136770836742,0.00645905556219881,0.11517377456220675,0.01345,0.035853665,0.031079949875289344
0.245413420074727,1.2393832194045626,0.0076909317467755015,0.13008027155238164,0.01076,0.028682932000000005,0.023007796951262968
0.25334518152894175,1.1971941867533191,0.008761249547380515,0.13974544411409998,0.01076,0.028682932000000005,0.022224603600237654
0.26334518152894176,0.3674626159294266,0.0102120496572364,0.14823874957595887,0.00538,0.014341466000000002,0.006821542459277427
0.27055948111261974,0.3249468069729706,0.011290683656619843,0.15073680085396896,0.00538,0.014341466000000002,0.006032282862751037
0.28055948111261975,1.0376773027998252,0.012808226660353294,0.1462293226668268,0.01076,0.028682932000000005,0.019263346727594645
0.28512337397397475,1.0109502480697012,0.013486316520543877,0.15090450076152845,0.01076,0.028682932000000005,0.018767188123291926
0.29512337397397476,0.9495192508249527,0.01504490132316456,0.16071006801186224,0.01076,0.028682932000000005,0.017626788698003756
0.30512337397397477,1.6566743875474312,0.016703983385122457,0.1730778651079219,0.01614,0.043024398000000005,0.03075435210536539
0.31235930326229777,1.6056226947036643,0.017999295064665802,0.18488277003106982,0.01614,0.043024398000000005,0.029806633139530154
0.3223593032622978,1.1434795818693992,0.019924375094054248,0.198966520958905,0.01345,0.035853665,0.02122745057836578
0.3303569710430963,1.0793529341793615,0.021551537101529208,0.20785712519117464,0.01345,0.035853665,0.020037009344276453
0.3403569710430963,0.6089944185570589,0.02368523179131078,0.22196305003080485,0.01076,0.028682932000000005,0.011305316795675896
0.34542839943219683,0.564334060124256,0.024818542183864926,0.22493852650274193,0.01076,0.028682932000000005,0.010476245978430034
0.35542839943219684,0.4746430417679174,0.027094657861500174,0.2301351141386474,0.01076,0.028682932000000005,0.008811230100866308
0.36542839943219685,1.1554138914953627,0.02942379881125257,0.2376206197832717,0.01614,0.043024398000000005,0.021448998012870816
0.3727187170351374,1.0859735471511123,0.031186223079135256,0.24579225673245791,0.01614,0.043024398000000005,0.020159913799139194
0.38271871703513743,0.9870617901277761,0.033696812837268005,0.2561608310736774,0.01614,0.043024398000000005,0.01832372497065165
0.39271871703513744,0.8842713950062216,0.036306076446028575,0.26552056203624347,0.01614,0.043024398000000005,0.016415533458559832
